;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
230550 IGUATU;40,9;;
230560 INDEPENDENCIA;46,8;;
230565 IPAPORANGA;52,8;;
230570 IPAUMIRIM;43,4;;
230580 IPU;47,6;;
230590 IPUEIRAS;56,4;;
230600 IRACEMA;49,4;;
230610 IRAUCUBA;42,8;;
230620 ITAICABA;42,5;;
230630 ITAPAGE;43,1;;
230640 ITAPIPOCA;44,8;;
230650 ITAPIUNA;51,1;;
230655 ITAREMA;54,1;;
230660 ITATIRA;53,7;;
230670 JAGUARETAMA;47,8;;
230680 JAGUARIBARA;44,3;;
230690 JAGUARIBE;45,4;;
230700 JAGUARUANA;46,4;;
230710 JARDIM;47,8;;
230720 JATI;52,5;;
230730 JUAZEIRO DO NORTE;34,4;;
230740 JUCAS;56;;
230750 LAVRAS DA MANGABEIRA;49,7;;
230760 LIMOEIRO DO NORTE;32,6;;
230763 MADALENA;48;;
230765 MARACANAU;21,9;;
230770 MARANGUAPE;30,9;;
230780 MARCO;48,6;;
230790 MARTINOPOLE;48,3;;
230800 MASSAPE;55;;
230810 MAURITI;55,6;;
230820 MERUOCA;44,5;;
230830 MILAGRES;50,6;;
230835 MILHA;50;;
230837 MIRAIMA;51,7;;
230840 MISSAO VELHA;53,6;;
230850 MOMBACA;51,4;;
230860 MONSENHOR TABOSA;47,4;;
230870 MORADA NOVA;46,1;;
230880 MORAUJO;52;;
230890 MORRINHOS;47,9;;
230900 MUCAMBO;48,6;;
230910 MULUNGU;43,9;;
230920 NOVA OLINDA;42,8;;
230930 NOVA RUSSAS;50,6;;
230940 NOVO ORIENTE;52,8;;
230945 OCARA;51,8;;
230950 OROS;44,2;;
230960 PACAJUS;41,4;;
230970 PACATUBA;30,4;;
230980 PACOTI;45,4;;
230990 PACUJA;41,4;;
231000 PALHANO;49,4;;
231010 PALMACIA;40,3;;
231020 PARACURU;39,8;;
231025 PARAIPABA;36,2;;
231030 PARAMBU;52,1;;
231040 PARAMOTI;55,8;;
231050 PEDRA BRANCA;57,2;;
231060 PENAFORTE;42;;
231070 PENTECOSTE;41,9;;
231080 PEREIRO;50,5;;
231085 PINDORETAMA;42,8;;
231090 PIQUET CARNEIRO;49,5;;
231095 PIRES FERREIRA;51,9;;
231100 PORANGA;61,9;;
231110 PORTEIRAS;53,1;;
231120 POTENGI;50,7;;
231123 POTIRETAMA;49;;
231126 QUITERIANOPOLIS;50,2;;
231130 QUIXADA;42,5;;
231135 QUIXELO;54,3;;
231140 QUIXERAMOBIM;45,4;;
231150 QUIXERE;47,8;;
231160 REDENCAO;43,2;;
231170 RERIUTABA;50,4;;
231180 RUSSAS;34,9;;
231190 SABOEIRO;62,2;;
231195 SALITRE;67;;
231200 SANTANA DO ACARAU;51,4;;
