;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
313960 MANTENA;32,9;;
313970 MARAVILHAS;15,4;;
313980 MAR DE ESPANHA;17,2;;
313990 MARIA DA FE;15,2;;
314000 MARIANA;16,5;;
314010 MARILAC;36,8;;
314020 MARIPA DE MINAS;19,8;;
314030 MARLIERIA;26,7;;
314040 MARMELOPOLIS;17,8;;
314050 MARTINHO CAMPOS;16,5;;
314060 MATERLANDIA;39,2;;
314070 MATEUS LEME;20,8;;
314080 MATIAS BARBOSA;16,9;;
314090 MATIPO;31,6;;
314100 MATO VERDE;41,4;;
314110 MATOZINHOS;12,8;;
314120 MATUTINA;21,9;;
314130 MEDEIROS;11,2;;
314140 MEDINA;42;;
314150 MENDES PIMENTEL;39,9;;
314160 MERCES;30,6;;
314170 MESQUITA;25,1;;
314180 MINAS NOVAS;50,4;;
314190 MINDURI;17,6;;
314200 MIRABELA;34,4;;
314210 MIRADOURO;26,8;;
314220 MIRAI;22,5;;
314230 MOEDA;16,8;;
314240 MOEMA;14;;
314250 MONJOLOS;30,3;;
314260 MONSENHOR PAULO;18,9;;
314270 MONTALVANIA;37,7;;
314280 MONTE ALEGRE DE MINAS;17,5;;
314290 MONTE AZUL;37,4;;
314300 MONTE BELO;22,6;;
314310 MONTE CARMELO;13,4;;
314320 MONTE SANTO DE MINAS;20,3;;
314330 MONTES CLAROS;14,8;;
314340 MONTE SIAO;19,2;;
314350 MORADA NOVA DE MINAS;15,6;;
314360 MORRO DA GARCA;28,7;;
314370 MORRO DO PILAR;39,4;;
314380 MUNHOZ;26;;
314390 MURIAE;16,1;;
314400 MUTUM;33,6;;
314410 MUZAMBINHO;11,1;;
314420 NACIP RAYDAN;37,2;;
314430 NANUQUE;29,3;;
314440 NATERCIA;13,8;;
314450 NAZARENO;17,7;;
314460 NEPOMUCENO;19,2;;
314470 NOVA ERA;14,1;;
314480 NOVA LIMA;8,3;;
314490 NOVA MODICA;45,7;;
314500 NOVA PONTE;11,8;;
314510 NOVA RESENDE;21,2;;
314520 NOVA SERRANA;13,2;;
314530 NOVO CRUZEIRO;52,6;;
314540 OLARIA;31,6;;
314550 OLIMPIO NORONHA;24,3;;
314560 OLIVEIRA;13,5;;
314570 OLIVEIRA FORTES;29,5;;
314580 ONCA DE PITANGUI;20,4;;
314590 OURO BRANCO;9,8;;
314600 OURO FINO;17,1;;
314610 OURO PRETO;10,5;;
314620 OURO VERDE DE MINAS;49,2;;
314630 PADRE PARAISO;40,3;;
314640 PAINEIRAS;19,9;;
314650 PAINS;15,6;;
314660 PAIVA;26,8;;
314670 PALMA;19;;
314690 PAPAGAIOS;19,4;;
314700 PARACATU;16,1;;
314710 PARA DE MINAS;11;;
314720 PARAGUACU;14;;
314730 PARAISOPOLIS;18,7;;
314740 PARAOPEBA;13,3;;
314750 PASSABEM;28,7;;
314760 PASSA QUATRO;15,1;;
314770 PASSA TEMPO;11,5;;
314780 PASSA-VINTE;20;;
314790 PASSOS;11,9;;
314800 PATOS DE MINAS;11,2;;
314810 PATROCINIO;12,6;;
314820 PATROCINIO DO MURIAE;21,6;;
314830 PAULA CANDIDO;22,8;;
314840 PAULISTAS;32,7;;
314850 PAVAO;40,7;;
314860 PECANHA;39,4;;
314870 PEDRA AZUL;35,6;;
314880 PEDRA DO ANTA;24,4;;
314890 PEDRA DO INDAIA;22,8;;
314900 PEDRA DOURADA;23,2;;
314910 PEDRALVA;15,5;;
314920 PEDRINOPOLIS;20,6;;
314930 PEDRO LEOPOLDO;10,1;;
314940 PEDRO TEIXEIRA;21,1;;
314950 PEQUERI;14,3;;
314960 PEQUI;14,4;;
314970 PERDIGAO;11,8;;
314980 PERDIZES;18;;
314990 PERDOES;17,3;;
315000 PESCADOR;31,4;;
315010 PIAU;25,1;;
315020 PIEDADE DE PONTE NOVA;31,3;;
315030 PIEDADE DO RIO GRANDE;30;;
315040 PIEDADE DOS GERAIS;29,8;;
315050 PIMENTA;17,6;;
315060 PIRACEMA;21,1;;
315070 PIRAJUBA;16,9;;
315080 PIRANGA;29,8;;
315090 PIRANGUCU;26,8;;
315100 PIRANGUINHO;16,6;;
315110 PIRAPETINGA;20,6;;
315120 PIRAPORA;13,5;;
315130 PIRAUBA;19;;
315140 PITANGUI;13,3;;
315150 PIUMHI;12,7;;
315160 PLANURA;15,3;;
315170 POCO FUNDO;12,5;;
315180 POCOS DE CALDAS;8,8;;
315190 POCRANE;29,4;;
315200 POMPEU;20,9;;
315210 PONTE NOVA;16,3;;
315220 PORTEIRINHA;39,7;;
315230 PORTO FIRME;29,2;;
315240 POTE;49,1;;
315250 POUSO ALEGRE;10,3;;
315260 POUSO ALTO;16,5;;
315270 PRADOS;14,6;;
315280 PRATA;16,2;;
315290 PRATAPOLIS;14,2;;
315300 PRATINHA;21,5;;
315310 PRESIDENTE BERNARDES;23,7;;
315320 PRESIDENTE JUSCELINO;31,9;;
315330 PRESIDENTE KUBITSCHEK;19;;
315340 PRESIDENTE OLEGARIO;19,7;;
315350 ALTO JEQUITIBA;20,6;;
315360 PRUDENTE DE MORAIS;13,9;;
315370 QUARTEL GERAL;26,7;;
315380 QUELUZITO;17,8;;
315390 RAPOSOS;11,7;;
315400 RAUL SOARES;24,9;;
315410 RECREIO;19,3;;
315420 RESENDE COSTA;10,2;;
315430 RESPLENDOR;27,5;;
315440 RESSAQUINHA;20,1;;
315450 RIACHO DOS MACHADOS;42;;
315460 RIBEIRAO DAS NEVES;14,5;;
315470 RIBEIRAO VERMELHO;8,4;;
315480 RIO ACIMA;10,5;;
315490 RIO CASCA;22,8;;
315500 RIO DOCE;24,9;;
315510 RIO DO PRADO;48,2;;
315520 RIO ESPERA;26,5;;
315530 RIO MANSO;29;;
315540 RIO NOVO;19;;
315550 RIO PARANAIBA;17;;
315560 RIO PARDO DE MINAS;56,1;;
315570 RIO PIRACICABA;15,3;;
315580 RIO POMBA;19;;
315590 RIO PRETO;23;;
315600 RIO VERMELHO;47,2;;
315610 RITAPOLIS;14,2;;
315620 ROCHEDO DE MINAS;25,4;;
315630 RODEIRO;21,2;;
315640 ROMARIA;16,3;;
315650 RUBELITA;41,6;;
315660 RUBIM;40,3;;
315670 SABARA;10,6;;
315680 SABINOPOLIS;30,3;;
315690 SACRAMENTO;14,3;;
315700 SALINAS;37,2;;
315710 SALTO DA DIVISA;49;;
315720 SANTA BARBARA;13,2;;
315730 SANTA BARBARA DO TUGURIO;26,6;;
315740 SANTA CRUZ DO ESCALVADO;29,7;;
315750 SANTA EFIGENIA DE MINAS;38,2;;
315760 SANTA FE DE MINAS;39,8;;
315770 SANTA JULIANA;13;;
315780 SANTA LUZIA;10,8;;
315790 SANTA MARGARIDA;24,1;;
315800 SANTA MARIA DE ITABIRA;30;;
315810 SANTA MARIA DO SALTO;46,5;;
315820 SANTA MARIA DO SUACUI;49;;
315830 SANTANA DA VARGEM;20,7;;
315840 SANTANA DE CATAGUASES;21,2;;
315850 SANTANA DE PIRAPAMA;29,6;;
315860 SANTANA DO DESERTO;17,3;;
315870 SANTANA DO GARAMBEU;30,6;;
315880 SANTANA DO JACARE;29,1;;
315890 SANTANA DO MANHUACU;30,6;;
315900 SANTANA DO RIACHO;30,3;;
315910 SANTANA DOS MONTES;18,3;;
315920 SANTA RITA DE CALDAS;15,6;;
315930 SANTA RITA DE JACUTINGA;22,7;;
315940 SANTA RITA DE IBITIPOCA;33,8;;
315950 SANTA RITA DO ITUETO;39,6;;
315960 SANTA RITA DO SAPUCAI;16,8;;
315970 SANTA ROSA DA SERRA;28,1;;
315980 SANTA VITORIA;23,4;;
315990 SANTO ANTONIO DO AMPARO;21,1;;
316000 SANTO ANTONIO DO AVENTUREIRO;22,9;;
316010 SANTO ANTONIO DO GRAMA;18,2;;
316020 SANTO ANTONIO DO ITAMBE;49;;
316030 SANTO ANTONIO DO JACINTO;51,7;;
316040 SANTO ANTONIO DO MONTE;16,8;;
316050 SANTO ANTONIO DO RIO ABAIXO;33,1;;
316060 SANTO HIPOLITO;33,1;;
316070 SANTOS DUMONT;14,8;;
316080 SAO BENTO ABADE;22,2;;
316090 SAO BRAS DO SUACUI;12,6;;
316100 SAO DOMINGOS DO PRATA;13,5;;
316110 SAO FRANCISCO;35,1;;
316120 SAO FRANCISCO DE PAULA;23,5;;
316130 SAO FRANCISCO DE SALES;19;;
316140 SAO FRANCISCO DO GLORIA;27,9;;
316150 SAO GERALDO;25,5;;
316160 SAO GERALDO DA PIEDADE;39,9;;
316170 SAO GONCALO DO ABAETE;17,6;;
316180 SAO GONCALO DO PARA;13,8;;
316190 SAO GONCALO DO RIO ABAIXO;24,4;;
316200 SAO GONCALO DO SAPUCAI;18,6;;
316210 SAO GOTARDO;15,6;;
316220 SAO JOAO BATISTA DO GLORIA;16,9;;
316230 SAO JOAO DA MATA;17,1;;
316240 SAO JOAO DA PONTE;54,7;;
316250 SAO JOAO DEL REI;9,4;;
316260 SAO JOAO DO ORIENTE;32;;
316270 SAO JOAO DO PARAISO;61,3;;
316280 SAO JOAO EVANGELISTA;27,1;;
316290 SAO JOAO NEPOMUCENO;13,1;;
316300 SAO JOSE DA SAFIRA;35,9;;
316310 SAO JOSE DA VARGINHA;10,5;;
316320 SAO JOSE DO ALEGRE;16,8;;
316330 SAO JOSE DO DIVINO;41,1;;
316340 SAO JOSE DO GOIABAL;24,5;;
316350 SAO JOSE DO JACURI;43,4;;
316360 SAO JOSE DO MANTIMENTO;32,4;;
316370 SAO LOURENCO;10;;
316380 SAO MIGUEL DO ANTA;25,9;;
316390 SAO PEDRO DA UNIAO;23,4;;
316400 SAO PEDRO DOS FERROS;30,5;;
316410 SAO PEDRO DO SUACUI;31,8;;
316420 SAO ROMAO;32,7;;
316430 SAO ROQUE DE MINAS;17,5;;
316440 SAO SEBASTIAO DA BELA VISTA;24,4;;
316450 SAO SEBASTIAO DO MARANHAO;44,8;;
316460 SAO SEBASTIAO DO OESTE;13,7;;
316470 SAO SEBASTIAO DO PARAISO;14,6;;
316480 SAO SEBASTIAO DO RIO PRETO;31,5;;
316490 SAO SEBASTIAO DO RIO VERDE;15,6;;
316500 SAO TIAGO;14,1;;
316510 SAO TOMAS DE AQUINO;22,9;;
316520 SAO THOME DAS LETRAS;28,8;;
316530 SAO VICENTE DE MINAS;20,6;;
316540 SAPUCAI-MIRIM;28,9;;
316550 SARDOA;35,6;;
316560 SENADOR CORTES;30,7;;
316570 SENADOR FIRMINO;18,8;;
316580 SENADOR JOSE BENTO;20;;
316590 SENADOR MODESTINO GONCALVES;41,9;;
316600 SENHORA DE OLIVEIRA;26,9;;
316610 SENHORA DO PORTO;35,5;;
316620 SENHORA DOS REMEDIOS;22,3;;
316630 SERICITA;28;;
316640 SERITINGA;12,8;;
316650 SERRA AZUL DE MINAS;46,8;;
316660 SERRA DA SAUDADE;27,4;;
316670 SERRA DOS AIMORES;34,3;;
316680 SERRA DO SALITRE;14,3;;
316690 SERRANIA;22,2;;
316700 SERRANOS;20,8;;
316710 SERRO;34,8;;
316720 SETE LAGOAS;9,2;;
316730 SILVEIRANIA;15,3;;
316740 SILVIANOPOLIS;21,4;;
316750 SIMAO PEREIRA;19,3;;
316760 SIMONESIA;30,1;;
316770 SOBRALIA;29;;
316780 SOLEDADE DE MINAS;15,8;;
316790 TABULEIRO;25,6;;
316800 TAIOBEIRAS;36,6;;
316810 TAPIRA;18,8;;
316820 TAPIRAI;17,6;;
316830 TAQUARACU DE MINAS;18,4;;
316840 TARUMIRIM;31,6;;
316850 TEIXEIRAS;22,1;;
316860 TEOFILO OTONI;26,6;;
316870 TIMOTEO;9,5;;
316880 TIRADENTES;15,2;;
316890 TIROS;21,1;;
316900 TOCANTINS;20,3;;
316910 TOLEDO;28,4;;
316920 TOMBOS;21,6;;
316930 TRES CORACOES;14,6;;
316935 TRES MARIAS;14,7;;
316940 TRES PONTAS;16,5;;
316950 TUMIRITINGA;32,3;;
316960 TUPACIGUARA;16,1;;
316970 TURMALINA;37;;
316980 TURVOLANDIA;17,3;;
316990 UBA;14,1;;
317000 UBAI;39,6;;
317010 UBERABA;9;;
317020 UBERLANDIA;8;;
317030 UMBURATIBA;47;;
317040 UNAI;20,6;;
317050 URUCANIA;26,9;;
317060 VARGEM BONITA;12,2;;
317070 VARGINHA;9,2;;
317080 VARZEA DA PALMA;24,7;;
317090 VARZELANDIA;50,3;;
317100 VAZANTE;15,6;;
317110 VERISSIMO;9,9;;
317120 VESPASIANO;13;;
317130 VICOSA;11,3;;
317140 VIEIRAS;21,3;;
317150 MATHIAS LOBATO;37,6;;
317160 VIRGEM DA LAPA;44,2;;
317170 VIRGINIA;21,6;;
317180 VIRGINOPOLIS;20;;
317190 VIRGOLANDIA;34,7;;
317200 VISCONDE DO RIO BRANCO;19,6;;
317210 VOLTA GRANDE;21,6;;
317220 WENCESLAU BRAZ;18;;
320010 AFONSO CLAUDIO;29,4;;
320013 AGUIA BRANCA;26,8;;
320016 AGUA DOCE DO NORTE;31;;
320020 ALEGRE;24,8;;
320030 ALFREDO CHAVES;15,7;;
320035 ALTO RIO NOVO;31;;
320040 ANCHIETA;17;;
320050 APIACA;23,4;;
320060 ARACRUZ;16,9;;
320070 ATILIO VIVACQUA;18,8;;
320080 BAIXO GUANDU;25,8;;
320090 BARRA DE SAO FRANCISCO;29,6;;
320100 BOA ESPERANCA;21,9;;
320110 BOM JESUS DO NORTE;17;;
320120 CACHOEIRO DE ITAPEMIRIM;13,6;;
320130 CARIACICA;13,9;;
320140 CASTELO;17;;
320150 COLATINA;15,7;;
320160 CONCEICAO DA BARRA;33;;
320170 CONCEICAO DO CASTELO;20,8;;
320180 DIVINO DE SAO LOURENCO;32,4;;
320190 DOMINGOS MARTINS;18;;
320200 DORES DO RIO PRETO;25,8;;
320210 ECOPORANGA;37,3;;
320220 FUNDAO;19,1;;
320230 GUACUI;24,1;;
320240 GUARAPARI;13,5;;
320245 IBATIBA;29,7;;
320250 IBIRACU;17,2;;
320255 IBITIRAMA;35,5;;
320260 ICONHA;16;;
320270 ITAGUACU;21;;
320280 ITAPEMIRIM;21,7;;
320290 ITARANA;19,5;;
320300 IUNA;27;;
320305 JAGUARE;25,8;;
320310 JERONIMO MONTEIRO;22,5;;
320313 JOAO NEIVA;15,1;;
320316 LARANJA DA TERRA;24,5;;
320320 LINHARES;20,9;;
320330 MANTENOPOLIS;33,8;;
320335 MARILANDIA;18,2;;
320340 MIMOSO DO SUL;27;;
320350 MONTANHA;29,1;;
320360 MUCURICI;34,5;;
320370 MUNIZ FREIRE;25,5;;
320380 MUQUI;21,6;;
320390 NOVA VENECIA;23,4;;
320400 PANCAS;29;;
320405 PEDRO CANARIO;34,2;;
320410 PINHEIROS;28,1;;
320420 PIUMA;19,2;;
320430 PRESIDENTE KENNEDY;29,6;;
320435 RIO BANANAL;17,8;;
320440 RIO NOVO DO SUL;17,9;;
320450 SANTA LEOPOLDINA;23,8;;
320455 SANTA MARIA DE JETIBA;22,9;;
320460 SANTA TERESA;17,9;;
320470 SAO GABRIEL DA PALHA;18,8;;
320480 SAO JOSE DO CALCADO;23,1;;
320490 SAO MATEUS;21,4;;
320500 SERRA;12,9;;
320503 VARGEM ALTA;20,7;;
320506 VENDA NOVA DO IMIGRANTE;18,6;;
320510 VIANA;15,6;;
320520 VILA VELHA;7,7;;
320530 VITORIA;7,2;;
330010 ANGRA DOS REIS;13,6;;
330020 ARARUAMA;20,8;;
330025 ARRAIAL DO CABO;11,5;;
330030 BARRA DO PIRAI;10,5;;
330040 BARRA MANSA;10,5;;
330050 BOM JARDIM;24,3;;
330060 BOM JESUS DO ITABAPOANA;18,6;;
330070 CABO FRIO;12,5;;
330080 CACHOEIRAS DE MACACU;20,7;;
330090 CAMBUCI;27,1;;
330100 CAMPOS DOS GOYTACAZES;15,7;;
330110 CANTAGALO;20,4;;
330120 CARMO;19,3;;
330130 CASIMIRO DE ABREU;19;;
330140 CONCEICAO DE MACABU;17,5;;
330150 CORDEIRO;12,2;;
330160 DUAS BARRAS;25;;
330170 DUQUE DE CAXIAS;10,7;;
330180 ENGENHEIRO PAULO DE FRONTIN;13,3;;
330190 ITABORAI;17,5;;
330200 ITAGUAI;15,7;;
330205 ITALVA;21,9;;
330210 ITAOCARA;21,3;;
330220 ITAPERUNA;18;;
330225 ITATIAIA;13,7;;
330230 LAJE DO MURIAE;26,9;;
330240 MACAE;13,4;;
330250 MAGE;15,2;;
330260 MANGARATIBA;14,5;;
330270 MARICA;15;;
330280 MENDES;13,8;;
330290 MIGUEL PEREIRA;15,5;;
330300 MIRACEMA;20,2;;
330310 NATIVIDADE;23,6;;
330320 NILOPOLIS;5,7;;
330330 NITEROI;5,1;;
330340 NOVA FRIBURGO;11,6;;
330350 NOVA IGUACU;11,3;;
330360 PARACAMBI;12,5;;
330370 PARAIBA DO SUL;14,4;;
330380 PARATY;20;;
330385 PATY DO ALFERES;27,2;;
330390 PETROPOLIS;9,4;;
330400 PIRAI;13,7;;
330410 PORCIUNCULA;20,9;;
330415 QUISSAMA;22;;
330420 RESENDE;10,8;;
330430 RIO BONITO;18,4;;
330440 RIO CLARO;24,4;;
330450 RIO DAS FLORES;21,3;;
330455 RIO DE JANEIRO;5,6;;
330460 SANTA MARIA MADALENA;26,2;;
330470 SANTO ANTONIO DE PADUA;18,7;;
330480 SAO FIDELIS;22,9;;
330490 SAO GONCALO;8,3;;
330500 SAO JOAO DA BARRA;30,2;;
330510 SAO JOAO DE MERITI;8,1;;
330515 SAO JOSE DO VALE DO RIO PRETO;21,5;;
330520 SAO PEDRO DA ALDEIA;16,1;;
330530 SAO SEBASTIAO DO ALTO;28,4;;
330540 SAPUCAIA;22,2;;
330550 SAQUAREMA;20,2;;
330560 SILVA JARDIM;34,6;;
330570 SUMIDOURO;30,5;;
330580 TERESOPOLIS;15,6;;
330590 TRAJANO DE MORAES;25,6;;
330600 TRES RIOS;12,6;;
330610 VALENCA;11,1;;
330620 VASSOURAS;16,7;;
330630 VOLTA REDONDA;7,6;;
350010 ADAMANTINA;15;;
350020 ADOLFO;21,3;;
350030 AGUAI;12,7;;
350040 AGUAS DA PRATA;9,4;;
350050 AGUAS DE LINDOIA;12,2;;
350055 AGUAS DE SANTA BARBARA;12,6;;
350060 AGUAS DE SAO PEDRO;2,7;;
350070 AGUDOS;13,8;;
350080 ALFREDO MARCONDES;18,4;;
350090 ALTAIR;23,6;;
350100 ALTINOPOLIS;12,9;;
350110 ALTO ALEGRE;18;;
350120 ALVARES FLORENCE;18,5;;
350130 ALVARES MACHADO;14,8;;
350140 ALVARO DE CARVALHO;23,2;;
350150 ALVINLANDIA;24,6;;
350160 AMERICANA;7,2;;
350170 AMERICO BRASILIENSE;11,7;;
350180 AMERICO DE CAMPOS;18,1;;
350190 AMPARO;10,1;;
350200 ANALANDIA;11,1;;
350210 ANDRADINA;14,5;;
350220 ANGATUBA;15,1;;
350230 ANHEMBI;16,1;;
350240 ANHUMAS;20,3;;
350250 APARECIDA;7,7;;
350260 APARECIDA D'OESTE;25,6;;
350270 APIAI;19,1;;
350280 ARACATUBA;9,1;;
350290 ARACOIABA DA SERRA;14,5;;
350300 ARAMINA;13;;
350310 ARANDU;22,4;;
350320 ARARAQUARA;8,7;;
350330 ARARAS;10;;
350340 AREALVA;19,2;;
350350 AREIAS;24,5;;
350360 AREIOPOLIS;22,3;;
350370 ARIRANHA;16,4;;
350380 ARTUR NOGUEIRA;13,5;;
350390 ARUJA;11,6;;
350400 ASSIS;10,4;;
350410 ATIBAIA;12,7;;
350420 AURIFLAMA;12,3;;
350430 AVAI;17,2;;
350440 AVANHANDAVA;17,1;;
350450 AVARE;10,7;;
350460 BADY BASSITT;14,2;;
350470 BALBINOS;18;;
350480 BALSAMO;15,5;;
350490 BANANAL;16,3;;
350500 BARAO DE ANTONINA;20,7;;
350510 BARBOSA;20,8;;
350520 BARIRI;12,2;;
350530 BARRA BONITA;12,4;;
350540 BARRA DO TURVO;31,9;;
350550 BARRETOS;10,1;;
350560 BARRINHA;16,6;;
350570 BARUERI;11,6;;
350580 BASTOS;15,2;;
350590 BATATAIS;11,4;;
350600 BAURU;7,2;;
350610 BEBEDOURO;10,8;;
350620 BENTO DE ABREU;18,6;;
350630 BERNARDINO DE CAMPOS;14,5;;
350640 BILAC;13,6;;
350650 BIRIGUI;11,7;;
350660 BIRITIBA-MIRIM;19;;
350670 BOA ESPERANCA DO SUL;20,2;;
350680 BOCAINA;16,1;;
350690 BOFETE;18,7;;
350700 BOITUVA;13,4;;
350710 BOM JESUS DOS PERDOES;15,6;;
350720 BORA;27,9;;
350730 BORACEIA;20,2;;
350740 BORBOREMA;16,9;;
350750 BOTUCATU;8,2;;
350760 BRAGANCA PAULISTA;12,6;;
350770 BRAUNA;15,2;;
350780 BRODOWSKI;12,4;;
350790 BROTAS;15,7;;
350800 BURI;18,2;;
350810 BURITAMA;17,6;;
350820 BURITIZAL;9,8;;
350830 CABRALIA PAULISTA;13,9;;
350840 CABREUVA;15,9;;
350850 CACAPAVA;8,4;;
350860 CACHOEIRA PAULISTA;9,8;;
350870 CACONDE;18,6;;
350880 CAFELANDIA;16,7;;
350890 CAIABU;22,1;;
350900 CAIEIRAS;9,2;;
350910 CAIUA;20,6;;
350920 CAJAMAR;14;;
350930 CAJOBI;15,1;;
350940 CAJURU;12,4;;
350950 CAMPINAS;7,3;;
350960 CAMPO LIMPO PAULISTA;11,4;;
350970 CAMPOS DO JORDAO;10,9;;
350980 CAMPOS NOVOS PAULISTA;16,8;;
350990 CANANEIA;15,5;;
351000 CANDIDO MOTA;15,6;;
351010 CANDIDO RODRIGUES;19,6;;
351020 CAPAO BONITO;18;;
351030 CAPELA DO ALTO;15,1;;
351040 CAPIVARI;12,1;;
351050 CARAGUATATUBA;12,7;;
351060 CARAPICUIBA;9,7;;
351070 CARDOSO;20,6;;
351080 CASA BRANCA;11;;
351090 CASSIA DOS COQUEIROS;21;;
351100 CASTILHO;18,6;;
351110 CATANDUVA;11,4;;
351120 CATIGUA;18,4;;
351130 CEDRAL;15,7;;
351140 CERQUEIRA CESAR;12,9;;
351150 CERQUILHO;7,8;;
351160 CESARIO LANGE;12,4;;
351170 CHARQUEADA;11,4;;
351190 CLEMENTINA;18,4;;
351200 COLINA;13,7;;
351210 COLOMBIA;18,3;;
351220 CONCHAL;18,4;;
351230 CONCHAS;10,3;;
351240 CORDEIROPOLIS;9,9;;
351250 COROADOS;22,8;;
351260 CORONEL MACEDO;21,4;;
351270 CORUMBATAI;12,1;;
351280 COSMOPOLIS;10,7;;
351290 COSMORAMA;17,3;;
351300 COTIA;10,4;;
351310 CRAVINHOS;11,3;;
351320 CRISTAIS PAULISTA;19,3;;
351330 CRUZALIA;11,4;;
351340 CRUZEIRO;7,2;;
351350 CUBATAO;12,8;;
351360 CUNHA;19,7;;
351370 DESCALVADO;9,7;;
351380 DIADEMA;12,3;;
351390 DIVINOLANDIA;14,6;;
351400 DOBRADA;20,1;;
351410 DOIS CORREGOS;15,1;;
351420 DOLCINOPOLIS;21,4;;
351430 DOURADO;16;;
351440 DRACENA;14,6;;
351450 DUARTINA;16,5;;
351460 DUMONT;13,5;;
351470 ECHAPORA;19,9;;
351480 ELDORADO;22,5;;
351490 ELIAS FAUSTO;17,5;;
351500 EMBU DAS ARTES;13,1;;
351510 EMBU-GUACU;14,8;;
351518 ESPIRITO SANTO DO PINHAL;12,6;;
351520 ESTRELA D'OESTE;16,4;;
351530 ESTRELA DO NORTE;17,7;;
351540 FARTURA;14,4;;
351550 FERNANDOPOLIS;13,3;;
351560 FERNANDO PRESTES;17,5;;
351570 FERRAZ DE VASCONCELOS;12,1;;
351580 FLORA RICA;26,1;;
351590 FLOREAL;14,4;;
351600 FLORIDA PAULISTA;20,8;;
351610 FLORINIA;20,5;;
351620 FRANCA;8,3;;
351630 FRANCISCO MORATO;14,4;;
351640 FRANCO DA ROCHA;11,3;;
351650 GABRIEL MONTEIRO;15,8;;
351660 GALIA;24,6;;
351670 GARCA;15,4;;
351680 GASTAO VIDIGAL;19,6;;
351690 GENERAL SALGADO;18,7;;
351700 GETULINA;18,3;;
351710 GLICERIO;17,9;;
351720 GUAICARA;15,6;;
351730 GUAIMBE;20,3;;
351740 GUAIRA;14,2;;
351750 GUAPIACU;17;;
351760 GUAPIARA;24,3;;
351770 GUARA;16,2;;
351780 GUARACAI;19,1;;
351790 GUARACI;17,7;;
351800 GUARANI D'OESTE;21,4;;
351810 GUARANTA;18,5;;
351820 GUARARAPES;13,1;;
351830 GUARAREMA;16,4;;
351840 GUARATINGUETA;7,8;;
351850 GUAREI;16,9;;
351860 GUARIBA;21,7;;
351870 GUARUJA;12,6;;
351880 GUARULHOS;10,1;;
351890 GUZOLANDIA;26,8;;
351900 HERCULANDIA;19,1;;
351910 IACANGA;17,6;;
351920 IACRI;18,5;;
351930 IBATE;16,7;;
351940 IBIRA;16,1;;
351950 IBIRAREMA;14,8;;
351960 IBITINGA;13,4;;
351970 IBIUNA;20,7;;
351980 ICEM;15,4;;
351990 IEPE;20,9;;
352000 IGARACU DO TIETE;17,3;;
352010 IGARAPAVA;11,5;;
352020 IGARATA;23,1;;
352030 IGUAPE;16,5;;
352040 ILHABELA;16,7;;
352050 INDAIATUBA;9,5;;
352060 INDIANA;16;;
352070 INDIAPORA;18,5;;
352080 INUBIA PAULISTA;18,3;;
352090 IPAUSSU;15,3;;
352100 IPERO;11,7;;
352110 IPEUNA;14,3;;
352120 IPORANGA;25,6;;
352130 IPUA;16;;
352140 IRACEMAPOLIS;9,4;;
352150 IRAPUA;20,1;;
352160 IRAPURU;21,3;;
352170 ITABERA;14,6;;
352180 ITAI;17,7;;
352190 ITAJOBI;14;;
352200 ITAJU;12,5;;
352210 ITANHAEM;13,5;;
352220 ITAPECERICA DA SERRA;13,2;;
352230 ITAPETININGA;10,4;;
352240 ITAPEVA;14,9;;
352250 ITAPEVI;12,4;;
352260 ITAPIRA;13,5;;
352270 ITAPOLIS;13,7;;
352280 ITAPORANGA;21,6;;
352290 ITAPUI;14,7;;
352300 ITAPURA;18,6;;
352310 ITAQUAQUECETUBA;13,4;;
352320 ITARARE;15;;
352330 ITARIRI;18,4;;
352340 ITATIBA;10,2;;
352350 ITATINGA;18,1;;
352360 ITIRAPINA;13,8;;
352370 ITIRAPUA;19,9;;
352380 ITOBI;13,3;;
352390 ITU;10,5;;
352400 ITUPEVA;16,9;;
352410 ITUVERAVA;12;;
352420 JABORANDI;19,1;;
352430 JABOTICABAL;11;;
352440 JACAREI;9,2;;
352450 JACI;16,9;;
352460 JACUPIRANGA;22,5;;
352470 JAGUARIUNA;11,1;;
352480 JALES;14;;
352490 JAMBEIRO;19,3;;
352500 JANDIRA;12,4;;
352510 JARDINOPOLIS;10,8;;
352520 JARINU;14,3;;
352530 JAU;11,4;;
352540 JERIQUARA;18,3;;
352550 JOANOPOLIS;19,3;;
352560 JOAO RAMALHO;16,6;;
352570 JOSE BONIFACIO;15,6;;
352580 JULIO MESQUITA;23,2;;
352590 JUNDIAI;7,4;;
352600 JUNQUEIROPOLIS;16,6;;
352610 JUQUIA;19,3;;
352620 JUQUITIBA;24,3;;
352630 LAGOINHA;23,3;;
352640 LARANJAL PAULISTA;9,3;;
352650 LAVINIA;15,4;;
352660 LAVRINHAS;16,7;;
352670 LEME;12,5;;
352680 LENCOIS PAULISTA;12,9;;
352690 LIMEIRA;9,3;;
