;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Proporção de pessoas com baixa renda - Brasil;;;
% população com renda < 1/2 SM segundo Município;;;
Período: 2010;;;
Município;% população com renda < 1/2 SM;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres. Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
150700 SANTO ANTONIO DO TAUA;64,16;;
150710 SAO CAETANO DE ODIVELAS;70,46;;
150715 SAO DOMINGOS DO ARAGUAIA;61,67;;
150720 SAO DOMINGOS DO CAPIM;81,72;;
150730 SAO FELIX DO XINGU;57,62;;
150740 SAO FRANCISCO DO PARA;65,69;;
150745 SAO GERALDO DO ARAGUAIA;62,45;;
150746 SAO JOAO DA PONTA;76,87;;
150747 SAO JOAO DE PIRABAS;78,1;;
150750 SAO JOAO DO ARAGUAIA;74,49;;
150760 SAO MIGUEL DO GUAMA;66,62;;
150770 SAO SEBASTIAO DA BOA VISTA;77,28;;
150775 SAPUCAIA;49,82;;
150780 SENADOR JOSE PORFIRIO;78,92;;
150790 SOURE;63,11;;
150795 TAILANDIA;68,79;;
150796 TERRA ALTA;73,97;;
150797 TERRA SANTA;65,86;;
150800 TOME-ACU;64,5;;
150803 TRACUATEUA;82,32;;
150805 TRAIRAO;58,81;;
150808 TUCUMA;43,86;;
150810 TUCURUI;46,48;;
150812 ULIANOPOLIS;60,97;;
150815 URUARA;57,51;;
150820 VIGIA;59,56;;
150830 VISEU;85;;
150835 VITORIA DO XINGU;66,31;;
150840 XINGUARA;48,01;;
160005 SERRA DO NAVIO;52,24;;
160010 AMAPA;66,54;;
160015 PEDRA BRANCA DO AMAPARI;59,37;;
160020 CALCOENE;64,13;;
160021 CUTIAS;72,44;;
160023 FERREIRA GOMES;59,49;;
160025 ITAUBAL;79,05;;
160027 LARANJAL DO JARI;54,65;;
160030 MACAPA;39,87;;
160040 MAZAGAO;65,02;;
160050 OIAPOQUE;52,8;;
160053 PORTO GRANDE;59,3;;
160055 PRACUUBA;77,92;;
160060 SANTANA;52,53;;
160070 TARTARUGALZINHO;74,51;;
160080 VITORIA DO JARI;68,47;;
170025 ABREULANDIA;54,79;;
170030 AGUIARNOPOLIS;55,01;;
170035 ALIANCA DO TOCANTINS;56,04;;
170040 ALMAS;61,2;;
170070 ALVORADA;34,23;;
170100 ANANAS;52,48;;
170105 ANGICO;62,64;;
170110 APARECIDA DO RIO NEGRO;59,86;;
170130 ARAGOMINAS;55,22;;
170190 ARAGUACEMA;64,01;;
170200 ARAGUACU;48,5;;
170210 ARAGUAINA;32,58;;
170215 ARAGUANA;59,49;;
170220 ARAGUATINS;64,58;;
170230 ARAPOEMA;50,21;;
170240 ARRAIAS;57,47;;
170255 AUGUSTINOPOLIS;59,57;;
170270 AURORA DO TOCANTINS;59,02;;
170290 AXIXA DO TOCANTINS;57,8;;
170300 BABACULANDIA;59,48;;
170305 BANDEIRANTES DO TOCANTINS;68,69;;
170307 BARRA DO OURO;66,67;;
170310 BARROLANDIA;55,29;;
170320 BERNARDO SAYAO;52,2;;
170330 BOM JESUS DO TOCANTINS;51,25;;
170360 BRASILANDIA DO TOCANTINS;50,34;;
170370 BREJINHO DE NAZARE;58,25;;
170380 BURITI DO TOCANTINS;72,36;;
170382 CACHOEIRINHA;66,2;;
170384 CAMPOS LINDOS;76,47;;
170386 CARIRI DO TOCANTINS;41,96;;
170388 CARMOLANDIA;50,76;;
170389 CARRASCO BONITO;76,49;;
170390 CASEARA;58,02;;
170410 CENTENARIO;72,25;;
170460 CHAPADA DE AREIA;59,7;;
170510 CHAPADA DA NATIVIDADE;69,46;;
170550 COLINAS DO TOCANTINS;43,85;;
170555 COMBINADO;49,59;;
170560 CONCEICAO DO TOCANTINS;64,89;;
170600 COUTO MAGALHAES;68,96;;
170610 CRISTALANDIA;50,77;;
170625 CRIXAS DO TOCANTINS;51,67;;
170650 DARCINOPOLIS;57,8;;
170700 DIANOPOLIS;46,8;;
170710 DIVINOPOLIS DO TOCANTINS;54,73;;
170720 DOIS IRMAOS DO TOCANTINS;68,46;;
170730 DUERE;52,29;;
170740 ESPERANTINA;81,88;;
170755 FATIMA;51,31;;
170765 FIGUEIROPOLIS;42,16;;
170770 FILADELFIA;66,99;;
170820 FORMOSO DO ARAGUAIA;49,83;;
170825 FORTALEZA DO TABOCAO;52,18;;
170830 GOIANORTE;61,75;;
170900 GOIATINS;73,04;;
170930 GUARAI;39,74;;
170950 GURUPI;27,02;;
170980 IPUEIRAS;60,31;;
171050 ITACAJA;66,11;;
171070 ITAGUATINS;66,58;;
171090 ITAPIRATINS;56;;
171110 ITAPORA DO TOCANTINS;52,54;;
171150 JAU DO TOCANTINS;53,62;;
171180 JUARINA;68,04;;
171190 LAGOA DA CONFUSAO;50,57;;
171195 LAGOA DO TOCANTINS;75,33;;
171200 LAJEADO;50,53;;
171215 LAVANDEIRA;55,77;;
171240 LIZARDA;77,2;;
171245 LUZINOPOLIS;61,95;;
171250 MARIANOPOLIS DO TOCANTINS;49,9;;
171270 MATEIROS;63,01;;
171280 MAURILANDIA DO TOCANTINS;71,62;;
171320 MIRACEMA DO TOCANTINS;44,4;;
171330 MIRANORTE;48,19;;
171360 MONTE DO CARMO;65,52;;
171370 MONTE SANTO DO TOCANTINS;61,11;;
171380 PALMEIRAS DO TOCANTINS;60,83;;
171395 MURICILANDIA;69,43;;
171420 NATIVIDADE;56,38;;
171430 NAZARE;63,45;;
171488 NOVA OLINDA;58,68;;
171500 NOVA ROSALANDIA;65,6;;
171510 NOVO ACORDO;59,58;;
171515 NOVO ALEGRE;52,21;;
171525 NOVO JARDIM;63,55;;
171550 OLIVEIRA DE FATIMA;55,12;;
171570 PALMEIRANTE;69,15;;
171575 PALMEIROPOLIS;47,99;;
171610 PARAISO DO TOCANTINS;26,94;;
171620 PARANA;69,32;;
171630 PAU D'ARCO;52,76;;
171650 PEDRO AFONSO;33,11;;
171660 PEIXE;49,51;;
171665 PEQUIZEIRO;61,76;;
171670 COLMEIA;47,64;;
171700 PINDORAMA DO TOCANTINS;67,89;;
171720 PIRAQUE;60,6;;
171750 PIUM;50,53;;
171780 PONTE ALTA DO BOM JESUS;68,32;;
171790 PONTE ALTA DO TOCANTINS;65,55;;
171800 PORTO ALEGRE DO TOCANTINS;56,89;;
171820 PORTO NACIONAL;37,37;;
171830 PRAIA NORTE;75,29;;
171840 PRESIDENTE KENNEDY;57,67;;
171845 PUGMIL;47,74;;
171850 RECURSOLANDIA;79,82;;
171855 RIACHINHO;78,95;;
171865 RIO DA CONCEICAO;71,33;;
171870 RIO DOS BOIS;60,76;;
171875 RIO SONO;68,45;;
171880 SAMPAIO;68,49;;
171884 SANDOLANDIA;51,66;;
171886 SANTA FE DO ARAGUAIA;62,74;;
171888 SANTA MARIA DO TOCANTINS;58,84;;
171889 SANTA RITA DO TOCANTINS;56,59;;
171890 SANTA ROSA DO TOCANTINS;67,49;;
171900 SANTA TEREZA DO TOCANTINS;52,05;;
172000 SANTA TEREZINHA DO TOCANTINS;66,25;;
172010 SAO BENTO DO TOCANTINS;64,54;;
172015 SAO FELIX DO TOCANTINS;76,08;;
172020 SAO MIGUEL DO TOCANTINS;67,84;;
172025 SAO SALVADOR DO TOCANTINS;65,56;;
172030 SAO SEBASTIAO DO TOCANTINS;79,78;;
172049 SAO VALERIO;64,57;;
172065 SILVANOPOLIS;53,6;;
172080 SITIO NOVO DO TOCANTINS;71,21;;
172085 SUCUPIRA;53,15;;
172090 TAGUATINGA;63,64;;
172093 TAIPAS DO TOCANTINS;70,13;;
172097 TALISMA;38,57;;
172100 PALMAS;23,52;;
172110 TOCANTINIA;70,56;;
172120 TOCANTINOPOLIS;54,19;;
172125 TUPIRAMA;49,21;;
172130 TUPIRATINS;63,79;;
172208 WANDERLANDIA;56,06;;
172210 XAMBIOA;55,41;;
210005 ACAILANDIA;55,28;;
210010 AFONSO CUNHA;82,32;;
210015 AGUA DOCE DO MARANHAO;79,86;;
210020 ALCANTARA;75;;
210030 ALDEIAS ALTAS;83,6;;
210040 ALTAMIRA DO MARANHAO;81,2;;
210043 ALTO ALEGRE DO MARANHAO;79,77;;
210047 ALTO ALEGRE DO PINDARE;86,65;;
210050 ALTO PARNAIBA;68;;
210055 AMAPA DO MARANHAO;80,59;;
210060 AMARANTE DO MARANHAO;75,96;;
210070 ANAJATUBA;75,31;;
210080 ANAPURUS;78,23;;
210083 APICUM-ACU;76,61;;
210087 ARAGUANA;86,3;;
210090 ARAIOSES;80,37;;
210095 ARAME;83,67;;
210100 ARARI;66,27;;
210110 AXIXA;76,19;;
210120 BACABAL;58,73;;
210125 BACABEIRA;70,72;;
210130 BACURI;75,56;;
210135 BACURITUBA;84,7;;
210140 BALSAS;48,29;;
210150 BARAO DE GRAJAU;62,25;;
210160 BARRA DO CORDA;68,56;;
210170 BARREIRINHAS;80,01;;
210173 BELAGUA;89,43;;
210177 BELA VISTA DO MARANHAO;79,03;;
210180 BENEDITO LEITE;74,38;;
210190 BEQUIMAO;77,92;;
210193 BERNARDO DO MEARIM;68,05;;
210197 BOA VISTA DO GURUPI;78,2;;
210200 BOM JARDIM;81,21;;
210203 BOM JESUS DAS SELVAS;79,24;;
210207 BOM LUGAR;83,06;;
210210 BREJO;81,16;;
210215 BREJO DE AREIA;77,18;;
210220 BURITI;83,45;;
210230 BURITI BRAVO;72,42;;
210232 BURITICUPU;79,33;;
210235 BURITIRANA;71,46;;
210237 CACHOEIRA GRANDE;90,3;;
210240 CAJAPIO;86,29;;
210250 CAJARI;86,84;;
210255 CAMPESTRE DO MARANHAO;54,13;;
210260 CANDIDO MENDES;77,22;;
210270 CANTANHEDE;83,63;;
210275 CAPINZAL DO NORTE;77,2;;
210280 CAROLINA;59,18;;
210290 CARUTAPERA;71,79;;
210300 CAXIAS;63,15;;
210310 CEDRAL;79,44;;
210312 CENTRAL DO MARANHAO;79,79;;
210315 CENTRO DO GUILHERME;78,23;;
210317 CENTRO NOVO DO MARANHAO;79,03;;
210320 CHAPADINHA;72,9;;
210325 CIDELANDIA;64,94;;
210330 CODO;69,75;;
210340 COELHO NETO;74,48;;
210350 COLINAS;71,69;;
210355 CONCEICAO DO LAGO-ACU;80,51;;
210360 COROATA;74,91;;
210370 CURURUPU;71,84;;
210375 DAVINOPOLIS;67,75;;
210380 DOM PEDRO;64,12;;
210390 DUQUE BACELAR;81,91;;
210400 ESPERANTINOPOLIS;72,44;;
210405 ESTREITO;50,11;;
210407 FEIRA NOVA DO MARANHAO;80,71;;
210408 FERNANDO FALCAO;90,44;;
210409 FORMOSA DA SERRA NEGRA;83,56;;
210410 FORTALEZA DOS NOGUEIRAS;65,38;;
210420 FORTUNA;68,28;;
210430 GODOFREDO VIANA;70,8;;
210440 GONCALVES DIAS;73,1;;
210450 GOVERNADOR ARCHER;72,79;;
210455 GOVERNADOR EDISON LOBAO;61,83;;
210460 GOVERNADOR EUGENIO BARROS;73,55;;
210462 GOVERNADOR LUIZ ROCHA;75,54;;
210465 GOVERNADOR NEWTON BELLO;79,91;;
210467 GOVERNADOR NUNES FREIRE;75,26;;
210470 GRACA ARANHA;73,46;;
210480 GRAJAU;67,49;;
210490 GUIMARAES;73,82;;
210500 HUMBERTO DE CAMPOS;89,48;;
210510 ICATU;81,72;;
210515 IGARAPE DO MEIO;74,82;;
210520 IGARAPE GRANDE;68,42;;
210530 IMPERATRIZ;39,14;;
210535 ITAIPAVA DO GRAJAU;85,89;;
210540 ITAPECURU MIRIM;76,96;;
210542 ITINGA DO MARANHAO;61,11;;
210545 JATOBA;76,32;;
210547 JENIPAPO DOS VIEIRAS;86,31;;
210550 JOAO LISBOA;58,73;;
210560 JOSELANDIA;74,39;;
210565 JUNCO DO MARANHAO;72,29;;
210570 LAGO DA PEDRA;71,24;;
210580 LAGO DO JUNCO;76,31;;
210590 LAGO VERDE;80,92;;
210592 LAGOA DO MATO;70,05;;
210594 LAGO DOS RODRIGUES;68,88;;
210596 LAGOA GRANDE DO MARANHAO;82,93;;
210598 LAJEADO NOVO;74,58;;
210600 LIMA CAMPOS;64,16;;
210610 LORETO;75,61;;
210620 LUIS DOMINGUES;74,14;;
210630 MAGALHAES DE ALMEIDA;80,09;;
210632 MARACACUME;71,34;;
210635 MARAJA DO SENA;91,56;;
210637 MARANHAOZINHO;79,34;;
210640 MATA ROMA;82,29;;
210650 MATINHA;74,94;;
210660 MATOES;74,81;;
210663 MATOES DO NORTE;89,45;;
210667 MILAGRES DO MARANHAO;83,74;;
210670 MIRADOR;83,17;;
210675 MIRANDA DO NORTE;68,51;;
210680 MIRINZAL;69,72;;
210690 MONCAO;80,84;;
210700 MONTES ALTOS;74,8;;
210710 MORROS;80,76;;
210720 NINA RODRIGUES;84,01;;
210725 NOVA COLINAS;78,94;;
210730 NOVA IORQUE;67,5;;
210735 NOVA OLINDA DO MARANHAO;74,65;;
210740 OLHO D'AGUA DAS CUNHAS;71,63;;
210745 OLINDA NOVA DO MARANHAO;80,49;;
210750 PACO DO LUMIAR;47,16;;
210760 PALMEIRANDIA;83,31;;
210770 PARAIBANO;67,68;;
210780 PARNARAMA;78,82;;
210790 PASSAGEM FRANCA;74,83;;
210800 PASTOS BONS;72,74;;
210805 PAULINO NEVES;83,41;;
210810 PAULO RAMOS;75,27;;
210820 PEDREIRAS;55,47;;
210825 PEDRO DO ROSARIO;83,78;;
210830 PENALVA;76,17;;
210840 PERI MIRIM;79,7;;
210845 PERITORO;83,35;;
210850 PINDARE-MIRIM;66,68;;
210860 PINHEIRO;62,08;;
210870 PIO XII;74,97;;
210880 PIRAPEMAS;79,88;;
210890 POCAO DE PEDRAS;72,11;;
210900 PORTO FRANCO;48,85;;
210905 PORTO RICO DO MARANHAO;75,16;;
210910 PRESIDENTE DUTRA;58,24;;
210920 PRESIDENTE JUSCELINO;86,02;;
210923 PRESIDENTE MEDICI;78,74;;
210927 PRESIDENTE SARNEY;79,9;;
210930 PRESIDENTE VARGAS;83,6;;
210940 PRIMEIRA CRUZ;87,9;;
210945 RAPOSA;65,63;;
210950 RIACHAO;69,65;;
210955 RIBAMAR FIQUENE;67,44;;
210960 ROSARIO;65,7;;
210970 SAMBAIBA;73,57;;
210975 SANTA FILOMENA DO MARANHAO;86,73;;
210980 SANTA HELENA;72,79;;
210990 SANTA INES;54,48;;
211000 SANTA LUZIA;78,79;;
211003 SANTA LUZIA DO PARUA;63,53;;
211010 SANTA QUITERIA DO MARANHAO;80,21;;
211020 SANTA RITA;68,53;;
211023 SANTANA DO MARANHAO;87,19;;
211027 SANTO AMARO DO MARANHAO;87,83;;
211030 SANTO ANTONIO DOS LOPES;73,32;;
211040 SAO BENEDITO DO RIO PRETO;85,66;;
211050 SAO BENTO;74,89;;
211060 SAO BERNARDO;77,22;;
211065 SAO DOMINGOS DO AZEITAO;76,98;;
211070 SAO DOMINGOS DO MARANHAO;74,19;;
211080 SAO FELIX DE BALSAS;73,85;;
211085 SAO FRANCISCO DO BREJAO;70,95;;
211090 SAO FRANCISCO DO MARANHAO;78,13;;
211100 SAO JOAO BATISTA;85,14;;
211102 SAO JOAO DO CARU;81,69;;
211105 SAO JOAO DO PARAISO;70,79;;
211107 SAO JOAO DO SOTER;79,96;;
