;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
420670 HERVAL D'OESTE;-;10.385;6.259;25;17;6;989;17.681;
420680 IBICARE;-;1.947;1.883;55;-;-;50;3.935;
420690 IBIRAMA;-;7.751;4.404;867;245;113;338;13.718;
420700 ICARA;30;29.433;4.510;1.975;53;71;1.803;37.875;
420710 ILHOTA;-;3.120;672;5.330;69;82;160;9.433;
420720 IMARUI;-;7.335;3.786;1.586;558;22;2.105;15.392;
420730 IMBITUBA;-;23.211;3.811;199;453;97;3.043;30.814;
420740 IMBUIA;41;2.075;1.023;474;761;4;229;4.607;
420750 INDAIAL;120;20.602;2.130;6.349;432;78;353;30.064;
420760 IPIRA;-;2.259;2.435;10;-;4;52;4.760;
420765 IPORA DO OESTE;-;159;7.224;27;51;-;176;7.637;
420770 IPUMIRIM;-;1.514;4.901;313;41;-;408;7.177;
420775 IRACEMINHA;-;104;4.398;563;8;-;596;5.669;
420780 IRANI;-;3.372;3.488;124;14;-;548;7.546;
420790 IRINEOPOLIS;-;3.488;5.506;124;6;-;542;9.666;
420800 ITA;-;3.997;3.460;542;19;-;173;8.191;
420810 ITAIOPOLIS;-;7.936;16.023;99;44;13;1.689;25.804;
420820 ITAJAI;592;110.438;2.840;1.780;389;57;2.777;118.873;
420830 ITAPEMA;-;9.647;1.173;487;53;120;541;12.021;
420840 ITAPIRANGA;3.059;2.277;15.393;5;-;2;446;21.182;
420845 ITAPOA;-;2.626;535;37;6;9;730;3.943;
420850 ITUPORANGA;16;10.080;3.740;2.710;3.889;71;546;21.052;
420860 JABORA;-;2.685;1.568;2;-;-;146;4.401;
420870 JACINTO MACHADO;-;6.184;4.108;219;23;28;942;11.504;
420880 JAGUARUNA;-;12.161;3.969;1.435;27;-;796;18.388;
420890 JARAGUA DO SUL;590;61.963;4.416;7.441;975;117;669;76.171;
420900 JOACABA;-;22.398;4.607;32;177;184;485;27.883;
420910 JOINVILLE;21.185;277.184;14.825;18.757;1.940;1.099;9.956;344.946;
420915 JOSE BOITEUX;-;214;3.495;180;-;-;153;4.042;
420920 LACERDOPOLIS;-;62;1.906;30;6;-;68;2.072;
420930 LAGES;23.429;74.874;26.846;15.220;1.805;835;7.424;150.433;
420940 LAGUNA;1.831;30.010;7.466;1.295;724;162;3.210;44.698;
420950 LAURENTINO;-;2.720;339;482;650;4;64;4.259;
420960 LAURO MULLER;565;5.217;4.080;2.175;1.702;26;123;13.888;
420970 LEBON REGIS;-;1.713;5.327;2.067;162;10;1.341;10.620;
420980 LEOBERTO LEAL;-;393;511;2.948;355;3;55;4.265;
420985 LINDOIA DO SUL;-;998;3.393;236;60;25;555;5.267;
420990 LONTRAS;-;2.203;2.092;3.080;21;52;42;7.490;
421000 LUIZ ALVES;-;962;823;490;3.946;3;183;6.407;
421010 MAFRA;-;28.996;16.030;68;35;100;1.495;46.724;
421020 MAJOR GERCINO;10;1.982;299;1.390;34;5;39;3.759;
421030 MAJOR VIEIRA;-;3.130;4.002;37;4;2;48;7.223;
421040 MARACAJA;-;3.267;912;102;11;37;288;4.617;
421050 MARAVILHA;-;2.402;19.769;276;35;43;1.286;23.811;
421055 MAREMA;-;810;2.587;-;3;6;3.154;6.560;
421060 MASSARANDUBA;10;6.357;1.558;849;2.094;23;199;11.090;
421070 MATOS COSTA;-;1.025;2.962;139;32;-;344;4.502;
421080 MELEIRO;-;6.151;1.984;689;101;6;780;9.711;
421090 MODELO;-;679;5.270;3.085;5;-;621;9.660;
421100 MONDAI;-;2.244;12.626;518;4;13;977;16.382;
421110 MONTE CASTELO;-;521;5.472;9;15;14;2.497;8.528;
421120 MORRO DA FUMACA;11;8.268;3.424;334;10;-;310;12.357;
421130 NAVEGANTES;-;18.514;2.398;1.662;86;28;765;23.453;
421140 NOVA ERECHIM;-;2.235;539;22;2;-;286;3.084;
421150 NOVA TRENTO;14;5.069;1.042;1.829;204;250;581;8.989;
421160 NOVA VENEZA;13;8.222;1.621;335;4;11;118;10.324;
421170 ORLEANS;1.324;7.183;5.526;1.115;3.853;27;894;19.922;
421175 OTACILIO COSTA;-;8.187;3.802;1.632;72;58;799;14.550;
421180 OURO;-;1.782;4.370;182;6;2;610;6.952;
421190 PALHOCA;-;55.656;4.862;3.600;481;237;3.136;67.972;
421200 PALMA SOLA;-;3.527;3.344;216;8;-;1.086;8.181;
421210 PALMITOS;-;5.413;10.052;508;760;38;894;17.665;
421220 PAPANDUVA;-;5.998;9.359;13;6;18;781;16.175;
421230 PAULO LOPES;-;3.015;1.428;153;550;-;384;5.530;
421240 PEDRAS GRANDES;-;2.614;634;177;1.570;36;28;5.059;
421250 PENHA;-;10.114;1.214;622;83;194;843;13.070;
421260 PERITIBA;-;1.552;1.539;52;9;-;28;3.180;
421270 PETROLANDIA;29;2.240;2.510;184;2.048;-;39;7.050;
421280 BALNEARIO PICARRAS;-;5.736;461;654;406;47;577;7.881;
421290 PINHALZINHO;8;1.143;7.725;1.028;279;3;440;10.626;
421300 PINHEIRO PRETO;-;656;1.156;456;21;15;60;2.364;
421310 PIRATUBA;-;1.484;2.920;179;-;12;204;4.799;
421320 POMERODE;102;13.298;2.117;197;2.797;37;164;18.712;
421330 PONTE ALTA;-;2.173;2.301;21;13;-;202;4.710;
421340 PONTE SERRADA;-;1.467;5.787;13;10;5;4.922;12.204;
421350 PORTO BELO;-;8.984;918;817;52;97;626;11.494;
421360 PORTO UNIAO;-;18.054;8.372;2.002;64;146;1.070;29.708;
421370 POUSO REDONDO;10;3.226;4.750;1.917;920;95;379;11.297;
421380 PRAIA GRANDE;-;4.581;2.356;92;11;-;515;7.555;
421390 PRESIDENTE CASTELLO BRANCO;-;678;916;150;-;2;50;1.796;
421400 PRESIDENTE GETULIO;92;8.356;1.832;804;122;16;67;11.289;
421410 PRESIDENTE NEREU;-;913;179;365;1.082;12;224;2.775;
421420 QUILOMBO;-;8.371;8.495;18;107;305;1.663;18.959;
421430 RANCHO QUEIMADO;-;595;364;1.329;59;7;5;2.359;
421440 RIO DAS ANTAS;88;2.027;2.769;667;22;-;152;5.725;
421450 RIO DO CAMPO;31;1.762;4.701;193;-;7;108;6.802;
421460 RIO DO OESTE;-;4.231;1.874;692;37;44;47;6.925;
421470 RIO DOS CEDROS;20;4.577;1.246;87;2.618;15;47;8.610;
421480 RIO DO SUL;103;36.343;2.992;4.184;745;105;876;45.348;
421490 RIO FORTUNA;-;3.481;342;311;5;-;27;4.166;
421500 RIO NEGRINHO;-;21.336;5.641;37;32;38;951;28.035;
421510 RODEIO;16;8.913;202;42;20;4;86;9.283;
421520 ROMELANDIA;-;1.497;6.124;254;9;8;1.464;9.356;
421530 SALETE;7;4.487;2.381;112;65;26;9;7.087;
421540 SALTO VELOSO;-;1.716;1.444;33;13;81;219;3.506;
421550 SANTA CECILIA;36;4.431;6.441;1.073;27;95;424;12.527;
421560 SANTA ROSA DE LIMA;-;326;771;366;264;-;169;1.896;
421565 SANTA ROSA DO SUL;-;5.347;1.651;131;6;-;92;7.227;
421570 SANTO AMARO DA IMPERATRIZ;-;2.390;7.430;1.514;1.459;223;327;13.343;
421580 SAO BENTO DO SUL;-;39.611;8.472;440;226;201;1.090;50.040;
421590 SAO BONIFACIO;-;976;1.219;568;345;-;236;3.344;
421600 SAO CARLOS;-;3.748;7.334;451;22;90;447;12.092;
421610 SAO DOMINGOS;-;8.308;4.240;152;117;38;1.018;13.873;
421620 SAO FRANCISCO DO SUL;-;20.150;5.714;1.971;30;128;1.402;29.395;
421630 SAO JOAO BATISTA;92;7.874;3.392;962;156;11;237;12.724;
421640 SAO JOAO DO SUL;-;5.884;2.498;73;6;-;497;8.958;
421650 SAO JOAQUIM;52;9.333;4.577;5.663;899;6;1.728;22.258;
421660 SAO JOSE;4.946;102.285;12.999;4.517;5.754;2.271;5.422;138.194;
421670 SAO JOSE DO CEDRO;-;2.527;13.435;37;63;45;1.425;17.532;
421680 SAO JOSE DO CERRITO;-;728;4.496;2.708;290;3;3.179;11.404;
421690 SAO LOURENCO DO OESTE;-;12.518;8.303;106;529;14;1.597;23.067;
421700 SAO LUDGERO;11;3.533;602;328;1.370;5;140;5.989;
421710 SAO MARTINHO;-;1.668;611;188;776;13;109;3.365;
421720 SAO MIGUEL DO OESTE;2.919;3.609;31.384;735;1.155;143;1.812;41.757;
421730 SAUDADES;-;3.252;4.813;650;4;-;329;9.048;
421740 SCHROEDER;-;3.937;853;1.407;206;23;168;6.594;
421750 SEARA;-;4.768;10.430;509;180;57;2.030;17.974;
421755 SERRA ALTA;-;13;3.254;271;-;-;286;3.824;
421760 SIDEROPOLIS;4;7.821;3.783;1.079;93;6;590;13.376;
421770 SOMBRIO;-;17.871;1.123;806;114;2;2.239;22.155;
421780 TAIO;5;13.675;2.847;2.222;218;36;264;19.267;
421790 TANGARA;-;2.454;6.888;709;813;31;799;11.694;
421800 TIJUCAS;51;11.255;1.069;2.315;1.999;71;2.745;19.505;
421810 TIMBE DO SUL;-;2.800;1.459;543;139;1;749;5.691;
421820 TIMBO;181;19.046;3.003;317;604;22;266;23.439;
421825 TIMBO GRANDE;-;285;629;1.381;-;4;2.584;4.883;
421830 TRES BARRAS;-;7.371;7.374;111;173;-;469;15.498;
421840 TREZE DE MAIO;-;3.941;563;447;246;54;849;6.100;
421850 TREZE TILIAS;-;1.100;2.344;170;73;-;325;4.012;
421860 TROMBUDO CENTRAL;-;4.219;2.497;428;872;24;237;8.277;
421870 TUBARAO;173;78.610;9.749;1.607;1.691;723;2.187;94.740;
421875 TUNAPOLIS;-;3.401;2.029;-;-;-;49;5.479;
421880 TURVO;-;7.430;2.640;1.494;123;124;615;12.426;
421885 UNIAO DO OESTE;-;2.599;3.505;175;-;-;846;7.125;
421890 URUBICI;809;3.373;1.984;3.136;1.540;23;531;11.396;
421895 URUPEMA;-;499;1.338;381;220;6;17;2.461;
421900 URUSSANGA;111;25.390;2.078;216;768;25;1.225;29.813;
421910 VARGEAO;-;40;2.590;4;-;-;89;2.723;
421920 VIDAL RAMOS;-;2.512;1.634;1.871;961;58;540;7.576;
421930 VIDEIRA;910;23.614;8.203;1.030;189;93;1.370;35.409;
421935 VITOR MEIRELES;-;2.127;3.323;570;23;-;149;6.192;
421940 WITMARSUM;-;2.041;1.309;179;68;8;18;3.623;
421950 XANXERE;3.218;7.324;19.086;1.623;91;290;5.760;37.392;
421960 XAVANTINA;-;2.287;1.408;645;88;2;527;4.957;
421970 XAXIM;1.272;10.652;6.275;1.743;143;88;715;20.888;
430005 AGUA SANTA;-;75;2.834;517;269;-;334;4.029;
430010 AGUDO;6;6.560;6.112;1.487;77;3;2.343;16.588;
430020 AJURICABA;-;150;8.579;892;735;-;658;11.014;
430030 ALECRIM;-;293;8.720;51;233;-;1.064;10.361;
430040 ALEGRETE;14.220;45.993;13.809;115;28;144;4.279;78.588;
430045 ALEGRIA;-;13;5.259;6;65;3;893;6.239;
430050 ALPESTRE;14;1.546;9.115;719;248;-;1.908;13.550;
430055 ALTO ALEGRE;-;595;883;205;125;-;321;2.129;
430060 ALVORADA;724;112.746;13.584;9.289;792;64;4.493;141.692;
430063 AMARAL FERRADOR;-;235;2.178;22;68;-;3.398;5.901;
430066 ANDRE DA ROCHA;-;294;632;4;86;-;26;1.042;
430070 ANTA GORDA;-;641;3.632;1.341;101;76;1.074;6.865;
430080 ANTONIO PRADO;35;6.939;2.113;686;689;6;489;10.957;
430090 ARATIBA;9;1.208;8.417;46;632;-;372;10.684;
430100 ARROIO DO MEIO;-;7.635;9.850;506;174;50;575;18.790;
430105 ARROIO DO SAL;-;442;2.313;85;6;-;97;2.943;
430110 ARROIO DOS RATOS;13;8.466;2.594;8;3;-;687;11.771;
430120 ARROIO DO TIGRE;8;2.151;10.065;187;11;95;3.039;15.556;
430130 ARROIO GRANDE;4.307;9.941;2.168;128;52;77;1.299;17.972;
430140 ARVOREZINHA;1;2.454;4.478;2.139;122;-;3.405;12.599;
430150 AUGUSTO PESTANA;-;332;7.801;301;40;-;107;8.581;
430155 AUREA;-;434;4.507;953;927;4;566;7.391;
430160 BAGE;20.674;55.068;25.472;8.817;476;407;5.128;116.042;
430165 BARAO;5;1.109;3.731;340;201;5;1.387;6.778;
430170 BARAO DE COTEGIPE;-;1.054;4.632;984;114;-;559;7.343;
430180 BARRACAO;-;2.195;2.686;255;18;7;1.058;6.219;
430190 BARRA DO RIBEIRO;14;8.861;1.840;489;-;-;418;11.622;
430200 BARROS CASSAL;-;180;6.903;910;24;9;5.172;13.198;
430210 BENTO GONCALVES;311;52.816;18.321;3.442;1.129;206;2.006;78.231;
430220 BOA VISTA DO BURICA;-;33;8.544;63;21;-;359;9.020;
430230 BOM JESUS;22;5.927;7.072;1.568;259;47;1.239;16.134;
430235 BOM PRINCIPIO;-;6.528;392;66;6;-;397;7.389;
430240 BOM RETIRO DO SUL;7;3.832;6.470;217;190;34;656;11.406;
430245 BOQUEIRAO DO LEAO;-;2.841;3.146;32;8;-;1.278;7.305;
430250 BOSSOROCA;-;83;7.299;-;5;3;544;7.934;
430260 BRAGA;-;125;4.081;122;18;-;574;4.920;
430265 BROCHIER;-;4.480;1.103;32;8;4;435;6.062;
430270 BUTIA;22;16.771;6.263;378;255;118;1.666;25.473;
430280 CACAPAVA DO SUL;9.467;9.849;7.782;1.798;149;177;5.194;34.416;
430290 CACEQUI;17;8.429;5.746;1.115;43;-;419;15.769;
430300 CACHOEIRA DO SUL;19.704;3.456;57.876;878;1.086;228;5.283;88.511;
430310 CACHOEIRINHA;10.691;68.513;2.289;2.453;4;-;4.033;87.983;
430320 CACIQUE DOBLE;2;1.093;2.192;730;173;4;1.486;5.680;
430330 CAIBATE;-;48;5.692;473;210;-;1.377;7.800;
430340 CAICARA;-;1.634;3.859;14;59;-;550;6.116;
430350 CAMAQUA;103;42.083;9.969;737;241;251;8.063;61.447;
430355 CAMARGO;-;8;1.647;149;4;-;718;2.526;
430360 CAMBARA DO SUL;32;2.403;1.258;470;805;4;2.063;7.035;
430370 CAMPINA DAS MISSOES;373;11;6.335;566;47;4;695;8.031;
430380 CAMPINAS DO SUL;27;2.416;4.217;418;892;-;559;8.529;
430390 CAMPO BOM;944;41.656;1.393;928;638;46;2.113;47.718;
430400 CAMPO NOVO;-;59;8.682;24;65;-;546;9.376;
430410 CAMPOS BORGES;-;360;3.136;198;21;-;121;3.836;
430420 CANDELARIA;21;13.283;11.023;501;158;2;2.890;27.878;
430430 CANDIDO GODOI;-;2.396;4.370;481;44;-;158;7.449;
430440 CANELA;424;15.458;4.337;1.351;212;56;2.559;24.397;
430450 CANGUCU;7.759;3.309;11.994;1.781;292;182;24.824;50.141;
430460 CANOAS;400;235.350;20.068;6.560;121;158;15.380;278.037;
430463 CAPAO DA CANOA;1.608;19.466;2.134;786;15;5;515;24.529;
430466 CAPAO DO LEAO;-;11.768;5.946;73;39;13;921;18.760;
430468 CAPELA DE SANTANA;-;4.687;2.515;10;-;4;27;7.243;
430470 CARAZINHO;340;3.952;47.599;1.498;983;93;3.800;58.265;
430480 CARLOS BARBOSA;122;8.196;6.117;103;908;35;367;15.848;
430490 CASCA;19;372;7.578;1.283;451;-;509;10.212;
430495 CASEIROS;-;308;1.381;178;21;-;951;2.839;
430500 CATUIPE;-;284;8.862;655;188;10;962;10.961;
430510 CAXIAS DO SUL;685;241.166;18.498;7.303;8.366;390;12.377;288.785;
430513 CERRO BRANCO;-;4;3.087;196;-;-;571;3.858;
430515 CERRO GRANDE;-;911;1.596;210;9;-;240;2.966;
430517 CERRO GRANDE DO SUL;-;910;2.946;674;47;4;3.429;8.010;
430520 CERRO LARGO;-;6.858;9.444;123;1.359;241;740;18.765;
430530 CHAPADA;-;6.861;2.684;670;76;-;172;10.463;
430535 CHARQUEADAS;130;19.563;2.402;950;-;75;176;23.296;
430540 CHIAPETTA;-;3.806;2.517;18;-;-;261;6.602;
430545 CIDREIRA;-;4.862;3.072;160;156;14;556;8.820;
430550 CIRIACO;-;14;4.932;644;523;-;1.018;7.131;
430560 COLORADO;-;4;3.219;354;253;-;547;4.377;
430570 CONDOR;-;39;4.320;32;87;17;1.921;6.416;
430580 CONSTANTINA;63;200;11.040;1.126;1.510;4;1.069;15.012;
430590 CORONEL BICACO;-;23;7.866;28;-;-;1.630;9.547;
430595 COTIPORA;-;1.121;2.829;21;19;3;130;4.123;
430600 CRISSIUMAL;-;203;16.540;95;44;-;1.209;18.091;
430605 CRISTAL;11;2.369;2.511;491;4;-;662;6.048;
430610 CRUZ ALTA;5.970;8.722;47.882;2.651;162;75;2.762;68.224;
430620 CRUZEIRO DO SUL;-;5.815;4.039;609;13;16;260;10.752;
430630 DAVID CANABARRO;2;410;3.377;552;128;12;575;5.056;
430635 DEZESSEIS DE NOVEMBRO;-;16;2.536;394;21;8;853;3.828;
430640 DOIS IRMAOS;382;12.162;5.472;189;26;78;468;18.777;
430645 DOIS LAJEADOS;-;156;4.407;681;77;25;258;5.604;
430650 DOM FELICIANO;17;312;6.287;4;192;-;5.489;12.301;
430660 DOM PEDRITO;5.878;18.886;6.782;4.525;229;47;1.528;37.875;
430670 DONA FRANCISCA;26;2.165;631;310;3;-;426;3.561;
430673 DOUTOR MAURICIO CARDOSO;-;3.163;3.687;28;50;-;275;7.203;
430676 ELDORADO DO SUL;6.328;3.471;4.154;3.033;57;-;595;17.638;
430680 ENCANTADO;20;11.646;4.214;555;775;73;767;18.050;
430690 ENCRUZILHADA DO SUL;45;9.576;5.226;541;295;20;5.541;21.244;
430693 ENTRE-IJUIS;-;5.527;3.086;725;15;3;591;9.947;
430695 ENTRE RIOS DO SUL;-;1.254;2.093;352;-;-;328;4.027;
430697 EREBANGO;-;89;3.102;-;-;-;12;3.203;
430700 ERECHIM;107;36.089;21.238;1.520;8.605;830;3.457;71.846;
430705 ERNESTINA;-;13;3.572;73;15;-;139;3.812;
430710 HERVAL;208;3.085;1.928;200;17;86;1.594;7.118;
430720 ERVAL GRANDE;-;4;4.405;430;681;-;1.705;7.225;
430730 ERVAL SECO;16;2.384;7.968;391;164;36;2.017;12.976;
430740 ESMERALDA;-;1.788;2.677;93;17;-;1.198;5.773;
430750 ESPUMOSO;70;1.551;12.151;803;252;-;2.012;16.839;
430755 ESTACAO;-;722;4.672;44;17;-;66;5.521;
430760 ESTANCIA VELHA;24;24.772;2.716;128;4;143;240;28.027;
430770 ESTEIO;174;60.191;4.477;1.253;874;389;2.939;70.297;
430780 ESTRELA;182;16.207;5.159;1.019;2.733;275;829;26.404;
430783 EUGENIO DE CASTRO;-;1.338;1.865;97;2;-;239;3.541;
430786 FAGUNDES VARELA;-;431;1.553;-;421;-;123;2.528;
430790 FARROUPILHA;234;26.428;14.458;1.126;307;634;1.839;45.026;
430800 FAXINAL DO SOTURNO;6;4.001;3.535;380;56;8;1.027;9.013;
430805 FAXINALZINHO;-;72;1.988;192;4;-;825;3.081;
430810 FELIZ;-;3.593;11.000;478;86;2;317;15.476;
430820 FLORES DA CUNHA;172;10.149;3.345;1.996;3.163;29;789;19.643;
430830 FONTOURA XAVIER;-;374;2.978;1.729;46;-;6.886;12.013;
430840 FORMIGUEIRO;-;2.132;4.147;301;142;1;955;7.678;
430845 FORTALEZA DOS VALOS;-;3;4.444;39;-;-;120;4.606;
430850 FREDERICO WESTPHALEN;68;9.737;13.205;381;43;109;1.059;24.602;
430860 GARIBALDI;84;11.925;9.826;1.381;621;92;1.767;25.696;
430870 GAURAMA;-;781;5.330;224;107;4;30;6.476;
430880 GENERAL CAMARA;897;4.209;4.813;72;21;2;1.481;11.495;
430890 GETULIO VARGAS;-;6.776;9.889;1.210;665;148;1.119;19.807;
430900 GIRUA;-;1.019;22.477;1.336;79;-;1.757;26.668;
430905 GLORINHA;-;3.231;829;248;6;-;215;4.529;
430910 GRAMADO;313;18.088;2.479;176;46;33;550;21.685;
430920 GRAVATAI;818;140.684;21.175;9.140;249;133;7.836;180.035;
430925 GUABIJU;-;348;353;-;984;17;25;1.727;
430930 GUAIBA;1.496;69.985;4.959;3.981;37;16;2.443;82.917;
430940 GUAPORE;30;12.574;5.269;713;394;55;634;19.669;
430950 GUARANI DAS MISSOES;-;478;9.279;550;31;-;1.126;11.464;
430955 HARMONIA;-;1.494;1.068;378;63;10;61;3.074;
430960 HORIZONTINA;-;786;14.672;206;582;45;679;16.970;
430970 HUMAITA;-;111;5.547;115;33;-;224;6.030;
430975 IBARAMA;-;10;3.376;178;4;-;1.543;5.111;
430980 IBIACA;-;577;2.973;156;638;5;1.525;5.874;
430990 IBIRAIARAS;1.789;1.875;1.376;1.426;294;5;1.031;7.796;
430995 IBIRAPUITA;-;-;4.615;276;5;-;935;5.831;
431000 IBIRUBA;3;3;16.434;318;552;5;455;17.770;
431010 IGREJINHA;545;16.324;2.401;313;20;9;813;20.425;
431020 IJUI;-;35.335;33.365;1.653;1.097;517;2.617;74.584;
431030 ILOPOLIS;-;753;2.523;20;18;13;481;3.808;
431033 IMBE;-;3.998;2.839;116;10;-;156;7.119;
431036 IMIGRANTE;-;300;3.127;118;101;-;272;3.918;
431040 INDEPENDENCIA;-;26;7.285;-;5;-;154;7.470;
431043 IPE;6;285;2.844;526;1.547;27;433;5.668;
431046 IPIRANGA DO SUL;-;178;1.611;245;102;-;196;2.332;
431050 IRAI;939;1.843;6.779;182;30;11;1.486;11.270;
431055 ITACURUBI;-;44;2.937;3;3;-;382;3.369;
431060 ITAQUI;74;17.389;20.807;387;8;45;1.172;39.882;
431070 ITATIBA DO SUL;-;133;5.200;17;9;-;1.289;6.648;
431075 IVORA;-;1.262;647;59;24;-;549;2.541;
431080 IVOTI;-;9.736;4.542;815;177;208;533;16.011;
431085 JABOTICABA;-;7;5.091;78;59;-;484;5.719;
431090 JACUTINGA;100;108;4.725;735;306;21;302;6.297;
431100 JAGUARAO;7.302;14.477;3.034;586;13;45;2.108;27.565;
431110 JAGUARI;-;4.522;6.821;24;216;3;1.059;12.645;
431112 JAQUIRANA;-;1.318;2.244;184;-;8;256;4.010;
431115 JOIA;-;234;5.940;141;331;5;768;7.419;
431120 JULIO DE CASTILHOS;4;9.891;12.730;634;84;128;1.513;24.984;
431125 LAGOAO;-;2;2.129;360;15;3;3.507;6.016;
431130 LAGOA VERMELHA;96;14.711;10.142;1.374;109;49;2.101;28.582;
431140 LAJEADO;55;37.010;19.638;2.077;568;406;3.597;63.351;
431150 LAVRAS DO SUL;1.251;2.078;3.669;592;1;53;1.136;8.780;
431160 LIBERATO SALZANO;-;2.203;3.586;713;81;-;2.052;8.635;
431170 MACHADINHO;-;2.385;3.508;766;-;-;642;7.301;
431180 MARAU;40;10.502;8.734;2.996;1.393;89;1.237;24.991;
431190 MARCELINO RAMOS;-;1.876;3.866;180;381;-;707;7.010;
431200 MARIANO MORO;-;159;2.010;4;394;-;430;2.997;
431210 MATA;-;2.417;2.526;81;13;14;510;5.561;
431220 MAXIMILIANO DE ALMEIDA;-;303;5.160;69;137;-;943;6.612;
431230 MIRAGUAI;-;-;4.737;-;306;-;948;5.991;
431235 MONTAURI;-;208;1.163;17;171;12;205;1.776;
431240 MONTENEGRO;130;35.757;8.111;1.993;340;329;2.056;48.716;
431245 MORRO REDONDO;-;569;3.571;161;126;-;1.633;6.060;
431250 MOSTARDAS;9;3.202;5.299;177;227;2;38;8.954;
431260 MUCUM;-;3.957;2.071;435;255;51;297;7.066;
431265 NAO-ME-TOQUE;-;1.060;12.061;200;117;153;365;13.956;
431270 NONOAI;-;203;12.434;2.178;72;13;5.800;20.700;
431275 NOVA ALVORADA;-;4;1.602;34;62;-;930;2.632;
431280 NOVA ARACA;-;1.297;1.362;-;26;-;167;2.852;
431290 NOVA BASSANO;-;2.575;3.464;-;305;-;349;6.693;
431300 NOVA BRESCIA;-;122;3.669;814;199;2;319;5.125;
431303 NOVA ESPERANCA DO SUL;-;477;2.943;32;8;-;129;3.589;
431306 NOVA HARTZ;4;8.171;1.112;64;-;-;662;10.013;
431310 NOVA PALMA;-;2.344;2.630;306;62;15;2.274;7.631;
431320 NOVA PETROPOLIS;53;11.699;2.298;505;224;197;1.651;16.627;
431330 NOVA PRATA;14;10.052;4.295;3;313;33;240;14.950;
431335 NOVA ROMA DO SUL;7;1.364;1.085;124;222;4;142;2.948;
431340 NOVO HAMBURGO;-;165.890;19.840;11.544;4.842;423;2.000;204.539;
431350 OSORIO;62;28.430;5.241;856;59;184;1.721;36.553;
431360 PAIM FILHO;-;710;2.406;830;165;-;1.241;5.352;
431365 PALMARES DO SUL;-;8.746;1.735;25;14;-;583;11.103;
431370 PALMEIRA DAS MISSOES;-;18.656;29.088;1.250;827;7;2.807;52.635;
431380 PALMITINHO;184;1.435;7.334;426;414;-;1.833;11.626;
431390 PANAMBI;68;10.139;15.857;459;512;794;1.394;29.223;
431395 PANTANO GRANDE;4;5.307;3.651;221;42;63;711;9.999;
431400 PARAI;4;1.712;2.983;4;101;-;273;5.077;
431402 PARAISO DO SUL;-;268;5.654;2;32;4;605;6.565;
431405 PAROBE;549;17.757;8.144;3.732;17;25;1.718;31.942;
431410 PASSO FUNDO;13.190;18.241;94.628;5.699;9.899;537;3.678;145.872;
431415 PAVERAMA;-;1.335;4.712;681;112;3;347;7.190;
431420 PEDRO OSORIO;505;7.548;3.795;241;27;90;2.591;14.797;
431430 PEJUCARA;3;284;3.608;47;25;-;48;4.015;
431440 PELOTAS;125.883;95.263;34.643;10.085;555;392;22.629;289.450;
431445 PINHAL;-;207;2.304;8;32;-;183;2.734;
431450 PINHEIRO MACHADO;4.844;2.214;4.464;1.124;103;122;2.362;15.233;
431455 PIRAPO;-;9;2.466;120;66;-;1.137;3.798;
431460 PIRATINI;1.153;2.503;6.698;716;16;90;6.184;17.360;
431470 PLANALTO;3;404;13.432;790;75;-;3.051;17.755;
431475 POCO DAS ANTAS;-;67;819;392;12;-;254;1.544;
431480 PORTAO;4;8.813;7.176;1.102;522;159;1.616;19.392;
431490 PORTO ALEGRE;352.584;721.361;73.717;52.828;13.307;1.614;32.899;1.248.310;
431500 PORTO LUCENA;-;1.924;6.026;17;-;-;1.357;9.324;
431510 PORTO XAVIER;-;4.032;5.326;33;10;34;1.402;10.837;
431513 POUSO NOVO;-;129;1.068;454;34;-;529;2.214;
431515 PROGRESSO;-;285;3.506;1.919;-;4;1.197;6.911;
431517 PROTASIO ALVES;-;179;1.793;-;22;-;337;2.331;
431520 PUTINGA;-;710;3.286;287;17;4;934;5.238;
431530 QUARAI;3.351;13.894;3.260;20;14;70;1.340;21.949;
431535 QUINZE DE NOVEMBRO;-;304;2.914;83;5;-;81;3.387;
431540 REDENTORA;95;2.858;3.512;923;55;1;1.658;9.102;
431545 RELVADO;7;10;1.929;357;22;-;238;2.563;
431550 RESTINGA SECA;-;8.835;5.293;156;40;35;780;15.139;
431560 RIO GRANDE;50.047;77.268;31.625;2.020;1.542;532;7.900;170.934;
431570 RIO PARDO;97;17.125;21.444;1.153;121;124;2.572;42.636;
431575 RIOZINHO;-;1.185;1.016;466;5;4;703;3.379;
431580 ROCA SALES;-;1.186;6.415;1.437;118;22;325;9.503;
