;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
170600 COUTO MAGALHAES;-;84;2.165;5;106;-;4.401;6.761;
170610 CRISTALANDIA;-;-;5.643;-;-;-;5.232;10.875;
170700 DIANOPOLIS;-;38;7.091;5;9;7;6.704;13.854;
170710 DIVINOPOLIS DO TOCANTINS;-;-;2.812;-;8;15;3.553;6.388;
170720 DOIS IRMAOS DO TOCANTINS;-;55;1.476;-;-;8;6.379;7.918;
170730 DUERE;-;41;1.589;-;-;-;2.852;4.482;
170755 FATIMA;-;52;3.376;29;-;-;1.287;4.744;
170765 FIGUEIROPOLIS;-;6;4.824;57;-;25;2.443;7.355;
170770 FILADELFIA;-;36;1.256;-;31;5;9.666;10.994;
170820 FORMOSO DO ARAGUAIA;-;1.682;4.454;106;3;36;10.615;16.896;
170830 GOIANORTE;-;4;1.108;16;14;5;3.979;5.126;
170900 GOIATINS;-;16;2.131;6;17;3;15.948;18.121;
170930 GUARAI;-;590;13.685;17;8;10;6.405;20.715;
170950 GURUPI;-;262;48.134;10;12;3;7.892;56.313;
171050 ITACAJA;-;45;2.751;-;-;6;11.054;13.856;
171070 ITAGUATINS;-;10;3.492;-;233;6;7.294;11.035;
171110 ITAPORA DO TOCANTINS;-;-;1.385;-;-;-;2.267;3.652;
171240 LIZARDA;-;6;441;-;-;-;3.695;4.142;
171250 MARIANOPOLIS DO TOCANTINS;-;21;1.383;-;-;-;929;2.333;
171320 MIRACEMA DO TOCANTINS;-;42;12.396;17;7;3;8.254;20.719;
171330 MIRANORTE;-;21;7.879;-;-;-;2.971;10.871;
171360 MONTE DO CARMO;-;5;2.291;19;-;8;4.043;6.366;
171420 NATIVIDADE;-;1.390;1.100;9;-;13;7.775;10.287;
171430 NAZARE;-;32;3.119;26;33;-;5.753;8.963;
171488 NOVA OLINDA;-;-;4.404;8;-;-;3.222;7.634;
171500 NOVA ROSALANDIA;-;-;1.803;-;-;-;1.232;3.035;
171510 NOVO ACORDO;-;-;885;-;-;-;2.956;3.841;
171575 PALMEIROPOLIS;-;4;6.851;17;-;4;4.981;11.857;
171610 PARAISO DO TOCANTINS;-;21;24.436;39;5;11;4.128;28.640;
171620 PARANA;-;-;1.527;3;-;-;9.436;10.966;
171650 PEDRO AFONSO;-;-;6.120;-;-;9;7.250;13.379;
171660 PEIXE;-;39;3.536;29;72;-;9.149;12.825;
171665 PEQUIZEIRO;-;-;1.783;4;28;-;1.449;3.264;
171670 COLMEIA;-;-;6.008;-;6;7;2.667;8.688;
171700 PINDORAMA DO TOCANTINS;-;-;1.435;-;-;-;3.488;4.923;
171750 PIUM;-;6;3.262;8;-;5;5.528;8.809;
171780 PONTE ALTA DO BOM JESUS;-;3;1.406;8;-;6;5.040;6.463;
171790 PONTE ALTA DO TOCANTINS;-;-;1.563;-;-;-;5.900;7.463;
171800 PORTO ALEGRE DO TOCANTINS;-;-;428;-;-;1;1.640;2.069;
171820 PORTO NACIONAL;-;20;32.433;4;-;-;10.379;42.836;
171830 PRAIA NORTE;-;-;883;57;363;-;4.755;6.058;
171840 PRESIDENTE KENNEDY;-;-;841;90;3;7;5.552;6.493;
171875 RIO SONO;-;-;1.418;-;-;19;5.509;6.946;
171880 SAMPAIO;-;1;795;65;10;-;3.494;4.365;
171890 SANTA ROSA DO TOCANTINS;-;3;678;-;-;-;3.139;3.820;
171900 SANTA TEREZA DO TOCANTINS;-;-;911;21;-;-;2.168;3.100;
172030 SAO SEBASTIAO DO TOCANTINS;-;9;2.289;-;42;-;1.914;4.254;
172049 SAO VALERIO;-;316;533;4;19;-;2.714;3.586;
172065 SILVANOPOLIS;-;-;2.519;-;-;5;3.354;5.878;
172080 SITIO NOVO DO TOCANTINS;-;-;3.517;-;-;4;4.318;7.839;
172090 TAGUATINGA;-;9;2.731;441;-;10;8.080;11.271;
172100 PALMAS;-;101;12.248;-;-;-;8.931;21.280;
172110 TOCANTINIA;-;-;2.826;-;-;6;3.464;6.296;
172120 TOCANTINOPOLIS;-;15;16.573;565;300;45;13.127;30.625;
172208 WANDERLANDIA;-;-;2.423;1.570;23;-;5.211;9.227;
172210 XAMBIOA;-;71;7.281;547;65;-;3.697;11.661;
210005 ACAILANDIA;-;13.311;50.225;3.217;221;31;16.297;83.302;
