;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
317000 UBAI;57;47;9.138;11;4;286;2.081;11.624;
317005 UBAPORANGA;5.546;677;1.934;444;3.247;144;31;12.023;
317010 UBERABA;281.714;2.533;7.494;106;300;149;188;292.484;
317020 UBERLANDIA;578.771;10.669;10.529;86;117;168;235;600.575;
317030 UMBURATIBA;1.884;16;484;91;81;61;71;2.688;
317040 UNAI;54.671;5.717;14.079;161;23;660;1.085;76.396;
317043 UNIAO DE MINAS;2.572;596;1.099;39;1;15;11;4.333;
317047 URUANA DE MINAS;50;263;2.611;2;11;34;185;3.156;
317050 URUCANIA;8.258;454;312;145;214;826;60;10.269;
317052 URUCUIA;960;406;8.622;20;-;67;3.498;13.573;
317057 VARGEM ALEGRE;4.669;-;498;622;494;104;45;6.432;
317060 VARGEM BONITA;1.443;327;309;39;25;2;9;2.154;
317065 VARGEM GRANDE DO RIO PARDO;19;27;4.422;-;-;21;242;4.731;
317070 VARGINHA;117.627;2.041;2.498;77;272;50;54;122.619;
317075 VARJAO DE MINAS;4.598;20;1.267;24;11;64;28;6.012;
317080 VARZEA DA PALMA;3.845;438;30.092;135;-;338;846;35.694;
317090 VARZELANDIA;1.915;599;13.720;78;15;439;2.301;19.067;
317100 VAZANTE;15.994;436;2.603;40;227;116;161;19.577;
317103 VERDELANDIA;1.298;378;4.949;28;6;128;1.489;8.276;
317107 VEREDINHA;3.145;27;2.184;8;4;33;132;5.533;
317110 VERISSIMO;1.883;222;927;157;20;11;27;3.247;
317115 VERMELHO NOVO;1.604;61;941;294;1.728;1;53;4.682;
317120 VESPASIANO;85.035;9.677;6.979;907;948;377;125;104.048;
317130 VICOSA;61.810;1.847;1.712;251;6.052;147;81;71.900;
317140 VIEIRAS;1.810;60;510;307;1.029;5;2;3.723;
317150 MATHIAS LOBATO;2.475;248;101;45;471;15;15;3.370;
317160 VIRGEM DA LAPA;5.115;329;5.334;409;84;373;1.953;13.597;
317170 VIRGINIA;4.414;101;338;271;3.305;99;43;8.571;
317180 VIRGINOPOLIS;5.529;104;1.886;281;2.525;17;150;10.492;
317190 VIRGOLANDIA;3.340;529;746;163;306;185;375;5.644;
317200 VISCONDE DO RIO BRANCO;31.418;845;1.645;600;2.865;410;66;37.849;
317210 VOLTA GRANDE;3.448;48;183;418;696;249;2;5.044;
317220 WENCESLAU BRAZ;378;63;43;9;2.048;6;-;2.547;
320010 AFONSO CLAUDIO;12.624;3.539;10.533;694;3.252;159;138;30.939;
320013 AGUIA BRANCA;2.730;180;5.695;336;276;86;88;9.391;
320016 AGUA DOCE DO NORTE;4.352;418;4.300;416;1.879;91;266;11.722;
320020 ALEGRE;17.406;841;2.448;2.293;7.228;312;80;30.608;
320030 ALFREDO CHAVES;5.946;4.103;3.528;146;203;17;-;13.943;
320035 ALTO RIO NOVO;3.543;632;1.785;439;874;13;25;7.311;
320040 ANCHIETA;5.371;7.397;10.653;128;177;17;53;23.796;
320050 APIACA;4.591;453;541;1.331;504;73;15;7.508;
320060 ARACRUZ;61.010;5.986;12.033;1.420;357;72;538;81.416;
320070 ATILIO VIVACQUA;6.042;1.203;1.738;473;310;36;1;9.803;
320080 BAIXO GUANDU;21.175;1.283;4.269;746;1.070;234;112;28.889;
320090 BARRA DE SAO FRANCISCO;21.111;1.657;12.472;662;3.636;202;347;40.087;
320100 BOA ESPERANCA;6.295;600;6.825;40;152;21;139;14.072;
320110 BOM JESUS DO NORTE;7.163;255;174;294;1.407;85;7;9.385;
320115 BREJETUBA;2.580;2.813;2.867;1.075;2.315;134;88;11.872;
320120 CACHOEIRO DE ITAPEMIRIM;162.470;6.034;7.765;5.459;5.891;893;223;188.735;
320130 CARIACICA;260.348;16.302;40.638;23.173;5.159;819;1.076;347.515;
320140 CASTELO;20.606;2.186;6.214;1.010;4.544;87;18;34.665;
320150 COLATINA;90.717;4.036;10.108;1.495;4.050;269;207;110.882;
320160 CONCEICAO DA BARRA;5.124;3.375;18.525;99;168;204;857;28.352;
320170 CONCEICAO DO CASTELO;3.909;1.589;3.735;477;1.859;58;9;11.636;
320180 DIVINO DE SAO LOURENCO;1.347;89;1.113;864;1.037;47;6;4.503;
320190 DOMINGOS MARTINS;8.036;6.857;12.930;963;2.647;101;163;31.697;
320200 DORES DO RIO PRETO;3.143;178;1.557;949;540;9;2;6.378;
320210 ECOPORANGA;9.294;771;8.124;735;3.057;170;509;22.660;
320220 FUNDAO;5.166;1.412;7.849;1.079;1.248;60;32;16.846;
320225 GOVERNADOR LINDENBERG;3.374;957;4.892;434;1.108;72;13;10.850;
320230 GUACUI;18.840;869;1.611;2.627;3.584;94;27;27.652;
320240 GUARAPARI;51.644;14.968;25.009;7.426;5.043;354;211;104.655;
320245 IBATIBA;11.199;757;1.371;1.404;7.079;483;18;22.311;
320250 IBIRACU;8.326;284;1.199;108;1.158;57;38;11.170;
320255 IBITIRAMA;3.067;176;2.414;1.301;1.015;962;4;8.939;
320260 ICONHA;4.799;2.497;2.263;430;2.436;55;2;12.482;
320265 IRUPI;3.424;179;1.993;1.451;3.557;1.011;13;11.628;
320270 ITAGUACU;2.900;3.987;6.843;148;132;52;42;14.104;
320280 ITAPEMIRIM;4.037;2.951;21.061;2.436;94;73;243;30.895;
320290 ITARANA;2.459;3.970;4.058;100;200;51;25;10.863;
320300 IUNA;13.789;3.349;3.020;1.393;4.966;717;30;27.264;
320305 JAGUARE;11.672;3.177;9.112;122;224;66;224;24.597;
320310 JERONIMO MONTEIRO;7.578;681;1.127;785;420;242;15;10.848;
320313 JOAO NEIVA;12.610;160;1.430;184;1.326;48;14;15.772;
320316 LARANJA DA TERRA;3.514;1.923;4.999;206;59;75;24;10.800;
320320 LINHARES;83.037;10.098;38.804;1.459;5.471;287;540;139.696;
320330 MANTENOPOLIS;7.782;230;2.597;780;1.606;307;92;13.394;
320332 MARATAIZES;14.526;3.147;15.162;306;668;68;142;34.019;
320334 MARECHAL FLORIANO;2.238;2.062;4.396;270;5.130;53;47;14.196;
320335 MARILANDIA;6.138;269;2.881;184;1.595;22;7;11.096;
320340 MIMOSO DO SUL;11.081;1.528;3.666;4.687;4.543;190;20;25.715;
320350 MONTANHA;12.506;707;3.936;161;181;76;150;17.717;
320360 MUCURICI;3.463;92;1.836;7;54;67;122;5.641;
320370 MUNIZ FREIRE;5.121;2.713;3.344;1.017;5.861;255;64;18.375;
320380 MUQUI;6.535;1.983;1.836;1.211;2.285;420;34;14.304;
320390 NOVA VENECIA;25.801;3.654;12.092;506;2.981;237;390;45.661;
320400 PANCAS;7.278;2.676;6.839;1.119;3.128;341;125;21.506;
320405 PEDRO CANARIO;10.813;1.615;10.769;135;49;85;260;23.726;
320410 PINHEIROS;17.281;293;5.437;115;149;84;454;23.813;
320420 PIUMA;10.377;1.725;3.965;371;1.490;30;61;18.019;
320425 PONTO BELO;4.834;110;1.539;76;155;76;118;6.908;
320430 PRESIDENTE KENNEDY;2.711;1.238;3.930;1.953;17;218;182;10.249;
320435 RIO BANANAL;5.420;299;10.157;223;1.284;61;36;17.480;
320440 RIO NOVO DO SUL;4.933;419;3.001;943;1.823;137;53;11.309;
320450 SANTA LEOPOLDINA;789;2.215;7.387;162;1.532;32;82;12.199;
320455 SANTA MARIA DE JETIBA;8.120;6.989;13.395;982;4.113;366;157;34.122;
320460 SANTA TERESA;10.219;3.353;6.371;270;1.458;86;22;21.779;
320465 SAO DOMINGOS DO NORTE;3.096;564;3.253;113;855;73;20;7.974;
320470 SAO GABRIEL DA PALHA;21.270;612;6.917;300;2.415;78;55;31.647;
320480 SAO JOSE DO CALCADO;6.565;421;687;1.125;1.488;50;15;10.351;
320490 SAO MATEUS;58.742;8.684;35.296;2.012;1.774;307;1.583;108.398;
320495 SAO ROQUE DO CANAA;3.170;1.409;5.494;58;1.069;26;16;11.242;
320500 SERRA;329.213;17.279;44.407;13.829;1.354;830;675;407.587;
320501 SOORETAMA;10.269;600;12.610;38;67;32;173;23.789;
320503 VARGEM ALTA;3.236;1.776;7.700;932;5.315;52;22;19.033;
320506 VENDA NOVA DO IMIGRANTE;11.846;6.046;2.030;48;394;30;19;20.413;
320510 VIANA;41.180;2.235;12.752;3.964;1.715;302;259;62.407;
320515 VILA PAVAO;1.972;543;4.411;524;893;149;129;8.621;
320517 VILA VALERIO;4.354;267;7.619;226;1.027;183;115;13.791;
320520 VILA VELHA;325.890;26.138;38.337;16.427;3.761;589;385;411.527;
320530 VITORIA;314.369;4.828;2.680;1.974;790;506;348;325.495;
330010 ANGRA DOS REIS;110.657;32.737;15.477;7.282;1.922;485;284;168.844;
330015 APERIBE;7.903;144;672;1.190;259;2;11;10.181;
330020 ARARUAMA;18.757;51.473;33.214;5.059;2.033;582;276;111.394;
330022 AREAL;3.805;1.541;1.237;786;3.977;25;16;11.387;
330023 ARMACAO DOS BUZIOS;4.824;19.673;2.595;97;37;80;41;27.347;
330025 ARRAIAL DO CABO;19.610;5.530;2.360;19;4;36;34;27.593;
330030 BARRA DO PIRAI;61.254;11.652;4.003;12.044;5.082;330;117;94.482;
330040 BARRA MANSA;141.176;3.438;1.791;15.039;15.041;857;116;177.458;
330045 BELFORD ROXO;335.902;45.830;35.707;40.572;6.268;3.915;650;468.844;
330050 BOM JARDIM;11.270;2.312;2.847;626;8.052;38;11;25.156;
330060 BOM JESUS DO ITABAPOANA;27.434;725;1.620;2.680;2.353;305;46;35.163;
330070 CABO FRIO;94.235;58.150;29.564;1.338;169;1.498;320;185.274;
330080 CACHOEIRAS DE MACACU;26.342;9.332;9.803;3.635;4.813;173;83;54.181;
330090 CAMBUCI;8.141;501;1.027;2.162;2.762;162;21;14.776;
330093 CARAPEBUS;8.119;2.331;1.655;882;201;79;45;13.312;
330095 COMENDADOR LEVY GASPARIAN;6.560;77;198;439;871;15;2;8.162;
330100 CAMPOS DOS GOYTACAZES;190.227;72.934;172.888;11.674;7.673;3.551;1.906;460.853;
330110 CANTAGALO;12.750;1.343;1.514;1.867;2.106;95;62;19.737;
330115 CARDOSO MOREIRA;5.336;2.336;1.031;2.822;825;109;13;12.472;
330120 CARMO;11.270;934;1.967;411;2.545;47;16;17.190;
330130 CASIMIRO DE ABREU;10.051;16.195;7.781;251;693;127;67;35.165;
330140 CONCEICAO DE MACABU;11.940;1.662;828;6.352;92;101;42;21.017;
330150 CORDEIRO;16.132;898;447;774;1.618;534;7;20.410;
330160 DUAS BARRAS;2.630;2.842;477;204;4.690;45;6;10.894;
330170 DUQUE DE CAXIAS;649.292;79.127;35.629;61.932;22.539;4.131;1.097;853.747;
330180 ENGENHEIRO PAULO DE FRONTIN;4.157;4.131;431;2.051;2.267;75;49;13.161;
330185 GUAPIMIRIM;23.852;11.326;10.264;5.214;489;153;77;51.375;
330187 IGUABA GRANDE;7.411;12.163;2.106;684;167;256;29;22.816;
330190 ITABORAI;86.132;55.653;31.293;36.286;5.470;2.276;439;217.549;
330200 ITAGUAI;73.889;10.430;9.454;11.174;2.133;1.656;137;108.873;
330205 ITALVA;9.605;655;1.714;1.339;597;109;27;14.046;
330210 ITAOCARA;15.947;373;1.808;3.474;998;137;41;22.778;
330220 ITAPERUNA;81.377;2.314;3.003;4.681;2.654;861;77;94.967;
330225 ITATIAIA;19.350;5.950;2.316;271;644;33;54;28.618;
330227 JAPERI;55.534;8.128;8.773;16.492;3.318;755;235;93.235;
330230 LAJE DO MURIAE;5.070;196;728;488;801;156;18;7.457;
330240 MACAE;137.625;31.888;23.164;2.192;10.344;611;172;205.996;
330245 MACUCO;4.779;349;18;52;64;1;-;5.263;
330250 MAGE;106.953;35.956;31.658;34.796;13.248;3.002;524;226.137;
330260 MANGARATIBA;8.350;19.598;5.262;1.058;679;1.276;61;36.284;
330270 MARICA;16.143;65.757;34.853;6.895;2.409;925;135;127.117;
330280 MENDES;7.446;3.523;1.633;2.354;2.859;75;10;17.900;
330285 MESQUITA;146.327;10.716;1.582;4.853;3.902;677;202;168.259;
330290 MIGUEL PEREIRA;8.097;8.627;4.797;1.775;808;384;24;24.512;
330300 MIRACEMA;22.526;1.011;526;1.418;1.149;72;55;26.757;
330310 NATIVIDADE;10.564;898;825;1.644;952;108;17;15.008;
330320 NILOPOLIS;150.807;4.356;447;158;1.235;123;116;157.242;
330330 NITEROI;413.094;26.561;10.637;19.699;10.820;1.920;322;483.053;
330340 NOVA FRIBURGO;118.917;31.015;16.038;1.827;12.779;482;81;181.139;
330350 NOVA IGUACU;612.392;48.342;23.721;86.767;18.659;4.442;862;795.185;
330360 PARACAMBI;35.285;2.830;1.079;3.645;2.920;140;16;45.915;
330370 PARAIBA DO SUL;32.197;1.172;4.668;1.008;1.749;67;60;40.921;
330380 PARATY;6.204;14.514;14.773;369;481;243;168;36.752;
330385 PATY DO ALFERES;9.818;4.989;4.586;3.867;2.479;455;42;26.236;
330390 PETROPOLIS;209.798;31.957;15.056;5.144;31.060;1.227;228;294.470;
330395 PINHEIRAL;20.161;688;329;559;893;25;8;22.663;
330400 PIRAI;17.464;3.385;2.026;1.299;1.599;149;18;25.940;
330410 PORCIUNCULA;12.886;226;526;1.540;2.081;380;46;17.685;
330411 PORTO REAL;14.904;429;418;460;193;89;38;16.531;
330412 QUATIS;10.104;376;489;641;1.073;15;4;12.702;
330414 QUEIMADOS;93.087;21.799;5.502;12.343;4.013;800;197;137.741;
330415 QUISSAMA;15.020;2.314;2.764;30;19;18;17;20.182;
330420 RESENDE;108.707;4.677;1.294;2.366;2.134;104;142;119.424;
330430 RIO BONITO;30.814;10.608;5.637;6.157;1.425;209;79;54.929;
330440 RIO CLARO;9.060;2.216;1.606;1.087;3.204;155;15;17.343;
330450 RIO DAS FLORES;5.130;769;314;238;2.070;9;-;8.530;
330452 RIO DAS OSTRAS;29.686;60.141;14.282;563;321;166;93;105.252;
330455 RIO DE JANEIRO;5.647.945;261.675;73.846;160.522;97.015;18.450;4.022;6.263.475;
330460 SANTA MARIA MADALENA;4.845;628;1.420;895;2.449;25;11;10.273;
330470 SANTO ANTONIO DE PADUA;32.163;860;1.371;3.597;2.192;171;67;40.421;
330475 SAO FRANCISCO DE ITABAPOANA;680;4.663;33.473;443;1.309;279;326;41.173;
330480 SAO FIDELIS;26.724;1.402;2.400;3.444;3.128;188;128;37.414;
330490 SAO GONCALO;673.340;138.832;44.973;85.512;47.455;6.617;740;997.469;
330500 SAO JOAO DA BARRA;7.779;4.370;19.795;239;330;36;35;32.584;
330510 SAO JOAO DE MERITI;412.164;19.343;5.552;9.542;8.504;2.769;436;458.310;
330513 SAO JOSE DE UBA;3.652;982;532;875;212;733;8;6.994;
330515 SAO JOSE DO VALE DO RIO PRETO;4.096;4.038;4.865;798;6.250;118;14;20.179;
330520 SAO PEDRO DA ALDEIA;39.900;30.372;14.474;1.774;396;442;295;87.653;
330530 SAO SEBASTIAO DO ALTO;3.616;687;946;2.345;738;403;136;8.871;
330540 SAPUCAIA;11.103;621;1.873;1.120;2.729;13;27;17.486;
330550 SAQUAREMA;15.688;24.665;26.686;6.003;683;171;52;73.948;
330555 SEROPEDICA;44.164;5.522;8.979;16.303;1.634;734;124;77.460;
330560 SILVA JARDIM;8.324;4.728;4.875;2.413;724;142;84;21.290;
330570 SUMIDOURO;2.632;1.676;3.545;1.455;5.453;75;10;14.846;
330575 TANGUA;16.997;963;5.722;5.364;1.172;141;115;30.474;
330580 TERESOPOLIS;56.734;52.885;26.236;7.023;19.648;511;87;163.124;
330590 TRAJANO DE MORAES;2.607;607;1.878;1.924;3.064;70;77;10.227;
330600 TRES RIOS;60.719;2.567;2.114;7.967;3.455;181;82;77.085;
330610 VALENCA;49.868;1.758;1.419;12.787;5.326;206;41;71.405;
330615 VARRE-SAI;5.567;413;665;2.229;450;116;4;9.444;
330620 VASSOURAS;15.438;9.680;3.702;2.848;2.286;195;31;34.180;
330630 VOLTA REDONDA;245.845;1.357;591;2.100;6.677;481;73;257.124;
350010 ADAMANTINA;31.545;510;1.358;30;-;6;22;33.471;
350020 ADOLFO;3.068;279;207;2;-;-;-;3.556;
350030 AGUAI;28.523;336;2.955;113;43;26;20;32.016;
350040 AGUAS DA PRATA;5.851;488;809;77;276;1;1;7.503;
350050 AGUAS DE LINDOIA;15.196;707;1.007;61;116;14;15;17.116;
350055 AGUAS DE SANTA BARBARA;3.209;980;1.279;-;90;12;7;5.577;
350060 AGUAS DE SAO PEDRO;2.599;11;30;27;-;13;-;2.680;
350070 AGUDOS;31.934;699;1.162;12;378;8;44;34.237;
350075 ALAMBARI;2.598;276;1.986;-;-;-;2;4.862;
350080 ALFREDO MARCONDES;3.175;98;568;24;-;12;-;3.877;
350090 ALTAIR;2.591;1.184;11;-;-;2;-;3.788;
350100 ALTINOPOLIS;13.418;199;1.865;8;17;6;6;15.519;
350110 ALTO ALEGRE;3.087;306;697;8;-;3;-;4.101;
350115 ALUMINIO;13.094;1.194;1.681;5;766;6;20;16.766;
350120 ALVARES FLORENCE;2.629;590;668;4;-;5;-;3.896;
350130 ALVARES MACHADO;19.774;1.156;2.420;85;4;15;10;23.464;
350140 ALVARO DE CARVALHO;2.935;134;179;30;-;4;5;3.287;
350150 ALVINLANDIA;2.563;116;301;6;2;4;3;2.995;
350160 AMERICANA;205.358;1.835;2.177;40;14;234;96;209.754;
350170 AMERICO BRASILIENSE;33.928;154;125;11;9;97;15;34.339;
350180 AMERICO DE CAMPOS;4.783;152;731;17;6;7;1;5.697;
350190 AMPARO;53.015;5.116;4.709;170;2.420;61;19;65.510;
350200 ANALANDIA;3.155;95;912;13;69;12;1;4.257;
350210 ANDRADINA;45.562;3.851;4.660;56;7;39;33;54.208;
350220 ANGATUBA;15.842;2.890;3.128;99;53;86;36;22.134;
350230 ANHEMBI;4.172;854;436;56;8;35;-;5.561;
350240 ANHUMAS;3.020;213;452;12;14;4;-;3.715;
350250 APARECIDA;33.022;437;267;343;516;18;25;34.628;
350260 APARECIDA D'OESTE;3.528;35;827;-;-;25;4;4.419;
350270 APIAI;12.744;858;7.148;694;3.227;154;214;25.039;
350275 ARACARIGUAMA;9.077;2.171;4.278;77;1.269;22;19;16.913;
350280 ARACATUBA;174.805;2.008;3.562;31;13;29;69;180.517;
350290 ARACOIABA DA SERRA;7.826;6.848;12.375;21;53;23;16;27.162;
350300 ARAMINA;4.685;129;297;-;10;12;13;5.146;
350310 ARANDU;4.377;1.007;683;3;-;-;8;6.078;
350315 ARAPEI;1.049;407;171;374;469;4;5;2.479;
350320 ARARAQUARA;201.163;2.197;2.976;23;131;37;33;206.560;
350330 ARARAS;113.967;2.199;1.411;59;46;45;47;117.774;
350335 ARCO-IRIS;1.112;194;601;-;-;1;13;1.921;
350340 AREALVA;5.621;1.430;713;11;13;22;8;7.818;
350350 AREIAS;2.314;46;500;58;712;6;8;3.644;
350360 AREIOPOLIS;10.209;228;56;-;38;8;14;10.553;
350370 ARIRANHA;8.033;115;334;2;33;10;3;8.530;
350380 ARTUR NOGUEIRA;38.597;1.460;3.998;12;-;24;11;44.102;
350390 ARUJA;41.390;22.699;7.582;1.165;1.427;329;16;74.608;
350395 ASPASIA;1.268;75;460;3;-;-;2;1.808;
350400 ASSIS;89.368;1.908;1.746;42;5;12;28;93.109;
350410 ATIBAIA;62.852;38.482;19.840;1.283;2.846;92;34;125.429;
350420 AURIFLAMA;12.491;566;1.050;17;-;14;4;14.142;
350430 AVAI;3.155;582;1.134;8;9;14;11;4.913;
350440 AVANHANDAVA;9.502;26;578;-;-;9;10;10.125;
350450 AVARE;75.038;2.237;3.464;45;21;37;32;80.874;
350460 BADY BASSITT;13.587;93;891;2;14;-;-;14.587;
350470 BALBINOS;1.164;76;100;14;3;-;-;1.357;
350480 BALSAMO;7.371;100;669;-;5;4;-;8.149;
350490 BANANAL;7.731;883;958;163;387;4;14;10.140;
350500 BARAO DE ANTONINA;1.666;60;1.329;4;5;33;11;3.108;
350510 BARBOSA;5.507;247;685;1;1;5;6;6.452;
350520 BARIRI;29.705;1.060;635;2;18;25;12;31.457;
350530 BARRA BONITA;34.331;449;236;11;97;18;5;35.147;
350535 BARRA DO CHAPEU;1.139;205;3.121;186;351;32;208;5.242;
350540 BARRA DO TURVO;2.324;1.114;2.425;388;926;300;173;7.650;
350550 BARRETOS;106.395;1.475;3.345;105;64;89;61;111.534;
350560 BARRINHA;27.346;661;319;7;63;5;41;28.442;
350570 BARUERI;217.424;11.556;2.936;2.145;3.172;2.690;123;240.046;
350580 BASTOS;17.524;538;2.296;21;8;8;12;20.407;
350590 BATATAIS;53.507;1.143;1.476;36;19;9;12;56.202;
350600 BAURU;329.351;3.893;4.344;209;1.281;122;139;339.339;
350610 BEBEDOURO;71.283;831;2.394;109;84;7;22;74.730;
350620 BENTO DE ABREU;2.450;164;60;-;-;-;-;2.674;
350630 BERNARDINO DE CAMPOS;9.586;356;722;12;14;10;2;10.702;
350635 BERTIOGA;13.597;22.866;6.023;2.557;419;1.778;64;47.304;
350640 BILAC;6.378;4;611;2;10;15;4;7.024;
350650 BIRIGUI;104.532;1.159;2.527;26;-;17;30;108.291;
350660 BIRITIBA-MIRIM;17.454;5.669;4.794;198;272;36;92;28.515;
350670 BOA ESPERANCA DO SUL;12.359;703;436;-;99;1;9;13.607;
350680 BOCAINA;9.932;315;373;30;93;6;12;10.761;
350690 BOFETE;6.007;1.005;2.490;42;15;3;50;9.612;
350700 BOITUVA;39.310;3.524;5.167;17;100;14;21;48.153;
350710 BOM JESUS DOS PERDOES;14.644;4.304;635;10;79;-;7;19.679;
350715 BOM SUCESSO DE ITARARE;2.307;8;1.024;73;16;12;121;3.561;
350720 BORA;627;60;118;-;-;-;-;805;
350730 BORACEIA;3.781;197;282;-;2;-;2;4.264;
350740 BORBOREMA;12.590;755;1.071;8;16;-;2;14.442;
350745 BOREBI;1.997;20;241;3;2;7;10;2.280;
350750 BOTUCATU;116.500;4.933;3.899;153;1.009;165;58;126.717;
350760 BRAGANCA PAULISTA;113.761;12.994;17.423;195;1.120;73;43;145.609;
350770 BRAUNA;4.314;174;525;-;1;-;-;5.014;
350775 BREJO ALEGRE;2.071;14;438;7;2;6;1;2.539;
350780 BRODOWSKI;20.028;658;353;-;2;-;5;21.046;
350790 BROTAS;19.203;493;1.759;26;8;12;3;21.504;
350800 BURI;13.963;656;3.572;73;85;49;71;18.469;
350810 BURITAMA;13.602;444;1.269;3;-;3;7;15.328;
350820 BURITIZAL;3.299;311;405;16;5;3;3;4.042;
350830 CABRALIA PAULISTA;3.710;33;549;26;12;20;3;4.353;
350840 CABREUVA;31.399;5.813;3.950;130;152;33;19;41.496;
350850 CACAPAVA;67.442;5.976;9.389;172;1.217;37;115;84.348;
350860 CACHOEIRA PAULISTA;25.444;1.326;662;233;1.831;350;49;29.895;
350870 CACONDE;11.648;894;3.262;649;1.911;37;27;18.428;
350880 CAFELANDIA;14.520;238;1.691;1;23;4;38;16.515;
350890 CAIABU;2.834;225;984;6;2;7;6;4.064;
350900 CAIEIRAS;73.610;5.919;3.938;1.867;573;354;53;86.314;
350910 CAIUA;1.843;369;2.631;-;-;35;10;4.888;
350920 CAJAMAR;44.198;4.682;6.383;1.948;6.637;112;70;64.030;
350925 CAJATI;15.395;4.144;3.070;2.355;3.034;152;125;28.275;
350930 CAJOBI;9.080;514;120;18;-;11;11;9.754;
350940 CAJURU;20.126;509;2.355;150;95;6;3;23.244;
350945 CAMPINA DO MONTE ALEGRE;4.190;969;364;-;6;1;9;5.539;
350950 CAMPINAS;904.068;66.003;56.251;6.803;36.373;2.390;296;1.072.184;
350960 CAMPO LIMPO PAULISTA;47.179;9.031;15.711;444;961;252;53;73.631;
350970 CAMPOS DO JORDAO;36.374;3.489;2.718;155;4.293;129;63;47.221;
350980 CAMPOS NOVOS PAULISTA;3.440;97;948;10;25;1;9;4.530;
350990 CANANEIA;7.280;1.951;1.460;896;302;39;219;12.147;
350995 CANAS;3.211;521;75;458;75;34;8;4.382;
351000 CANDIDO MOTA;27.395;598;1.712;8;9;1;8;29.731;
351010 CANDIDO RODRIGUES;2.213;54;266;53;9;72;-;2.667;
351015 CANITAR;3.716;133;502;3;8;-;-;4.362;
351020 CAPAO BONITO;36.595;3.208;5.545;59;213;93;227;45.940;
351030 CAPELA DO ALTO;9.490;1.539;6.149;1;12;3;28;17.222;
351040 CAPIVARI;40.854;1.854;2.785;834;1.255;250;61;47.893;
351050 CARAGUATATUBA;54.448;33.325;9.712;1.219;722;281;93;99.800;
351060 CARAPICUIBA;295.617;25.101;6.329;9.065;24.751;7.727;146;368.736;
351070 CARDOSO;9.311;1.018;1.396;5;5;10;16;11.761;
351080 CASA BRANCA;22.717;1.005;2.020;140;35;27;24;25.968;
351090 CASSIA DOS COQUEIROS;1.679;65;845;13;12;-;9;2.623;
351100 CASTILHO;12.666;1.643;3.042;29;32;29;45;17.486;
351110 CATANDUVA;109.832;1.279;926;20;99;10;12;112.178;
351120 CATIGUA;6.316;68;597;56;64;-;-;7.101;
351130 CEDRAL;6.064;1.503;371;-;-;1;-;7.939;
351140 CERQUEIRA CESAR;15.266;515;1.443;36;-;2;14;17.276;
351150 CERQUILHO;36.955;638;1.721;37;21;3;5;39.380;
351160 CESARIO LANGE;9.684;1.013;3.792;12;-;3;34;14.538;
351170 CHARQUEADA;12.243;944;1.486;89;282;15;10;15.069;
351190 CLEMENTINA;6.686;68;274;1;-;-;5;7.034;
351200 COLINA;15.937;465;731;26;118;19;-;17.296;
351210 COLOMBIA;4.603;347;952;5;39;18;6;5.970;
351220 CONCHAL;23.216;1.716;9;3;200;2;2;25.148;
351230 CONCHAS;12.128;704;2.836;381;52;81;2;16.184;
351240 CORDEIROPOLIS;18.772;584;1.560;41;12;3;2;20.974;
351250 COROADOS;4.163;101;946;4;-;3;7;5.224;
351260 CORONEL MACEDO;3.762;61;1.047;75;4;21;24;4.994;
351270 CORUMBATAI;2.100;460;1.169;103;11;22;1;3.866;
351280 COSMOPOLIS;53.325;1.985;1.150;179;1.811;4;38;58.492;
351290 COSMORAMA;4.966;381;1.792;32;-;3;6;7.180;
351300 COTIA;104.834;56.677;18.951;2.984;13.544;2.444;100;199.534;
351310 CRAVINHOS;30.718;227;574;24;61;11;-;31.615;
351320 CRISTAIS PAULISTA;5.214;729;1.589;4;21;5;-;7.562;
351330 CRUZALIA;1.438;61;759;6;7;-;1;2.272;
351340 CRUZEIRO;72.672;1.165;668;805;1.362;78;83;76.833;
351350 CUBATAO;63.112;11.025;519;20.155;18.736;4.559;114;118.220;
351360 CUNHA;10.879;510;6.901;466;2.635;93;258;21.742;
351370 DESCALVADO;27.576;1.033;1.921;96;42;20;7;30.695;
351380 DIADEMA;371.598;3.630;2.414;1.741;4.752;1.046;165;385.346;
351385 DIRCE REIS;1.294;27;366;-;-;1;1;1.689;
351390 DIVINOLANDIA;6.757;835;937;493;1.733;254;10;11.019;
351400 DOBRADA;7.710;103;108;-;10;-;2;7.933;
351410 DOIS CORREGOS;22.809;721;836;42;117;48;7;24.580;
351420 DOLCINOPOLIS;1.938;13;142;-;-;-;-;2.093;
351430 DOURADO;7.817;515;190;20;24;3;-;8.569;
351440 DRACENA;38.566;980;2.398;19;5;40;14;42.022;
