;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
130380 SAO GABRIEL DA CACHOEIRA;1.060;3.071;10.201;779;1.130;502;20.892;37.635;
130390 SAO PAULO DE OLIVENCA;752;671;9.409;2.831;1.044;9.341;7.232;31.280;
130395 SAO SEBASTIAO DO UATUMA;81;100;5.427;4.062;45;720;243;10.678;
130400 SILVES;34;368;2.910;141;14;4.785;161;8.413;
130406 TABATINGA;3.244;7.950;22.652;5.173;1.492;6.259;5.072;51.842;
130410 TAPAUA;3.118;146;3.595;3.440;3.027;3.284;2.427;19.037;
130420 TEFE;9.143;9.765;16.363;8.876;8.846;2.702;5.512;61.207;
130423 TONANTINS;35;1.432;8.064;2.483;147;3.203;1.704;17.068;
130426 UARINI;204;1.239;4.466;497;291;2.246;2.782;11.725;
130430 URUCARA;290;1.568;9.268;3.788;61;1.794;251;17.020;
130440 URUCURITUBA;171;3.920;5.931;3.389;309;2.743;1.208;17.671;
140002 AMAJARI;22;878;2.861;146;6;1.476;3.844;9.233;
140005 ALTO ALEGRE;945;1.664;4.268;1.443;-;1.487;6.532;16.339;
140010 BOA VISTA;48.099;104.059;122.019;1.142;71;4.429;1.902;281.721;
140015 BONFIM;61;3.825;2.541;1.377;7;2.083;936;10.830;
140017 CANTA;109;1.391;7.704;809;9;1.941;1.830;13.793;
140020 CARACARAI;7.688;2.705;3.140;239;1.614;1.495;1.335;18.216;
140023 CAROEBE;1.002;175;5.071;194;35;630;895;8.002;
140028 IRACEMA;2.163;2.182;1.977;249;4;237;1.830;8.642;
140030 MUCAJAI;424;145;11.056;576;9;1.425;1.003;14.638;
140040 NORMANDIA;13;1.171;3.537;226;1;2.602;1.367;8.917;
140045 PACARAIMA;270;1.948;4.613;53;23;2.407;1.061;10.375;
140047 RORAINOPOLIS;139;2.509;15.381;633;106;3.660;1.565;23.993;
140050 SAO JOAO DA BALIZA;427;1.330;4.025;280;22;128;501;6.713;
140060 SAO LUIZ;58;2.707;3.464;67;10;133;193;6.632;
140070 UIRAMUTA;7;378;2.166;622;22;254;4.911;8.360;
150010 ABAETETUBA;1.306;21.825;54.930;14.651;22.761;21.338;3.279;140.090;
150013 ABEL FIGUEIREDO;35;562;5.706;131;-;19;272;6.725;
150020 ACARA;127;3.174;16.841;7.055;481;19.709;5.655;53.042;
150030 AFUA;43;1.080;6.967;4.417;400;21.532;454;34.893;
150034 AGUA AZUL DO NORTE;1.993;3.351;15.663;1.340;30;1.278;934;24.589;
150040 ALENQUER;264;9.515;25.032;11.027;78;5.251;1.276;52.443;
150050 ALMEIRIM;4.871;5.162;12.674;4.171;2.427;2.049;2.045;33.399;
150060 ALTAMIRA;1.396;16.027;66.468;3.720;1.976;4.602;3.908;98.097;
150070 ANAJAS;129;1.853;8.678;1.380;484;10.663;1.474;24.661;
150080 ANANINDEUA;52.302;206.568;187.572;11.146;3.292;4.103;5.442;470.425;
150085 ANAPU;7;323;12.504;1.951;41;298;5.353;20.477;
150090 AUGUSTO CORREA;161;9.850;12.866;5.839;844;10.033;866;40.459;
150095 AURORA DO PARA;177;4.438;12.677;3.027;196;3.612;2.359;26.486;
150100 AVEIRO;111;1.078;6.261;2.522;18;5.296;512;15.798;
150110 BAGRE;129;499;1.981;841;2.314;15.149;884;21.797;
150120 BAIAO;266;8.382;19.695;927;101;4.826;2.518;36.715;
150125 BANNACH;5;56;2.246;426;-;209;449;3.391;
150130 BARCARENA;11.166;16.472;54.743;5.980;3.000;5.156;3.066;99.583;
150140 BELEM;510.810;428.532;346.372;58.926;14.405;12.726;13.858;1.385.629;
150145 BELTERRA;45;3.313;10.703;1.362;-;718;100;16.241;
150150 BENEVIDES;571;8.348;36.533;2.528;20;2.124;1.215;51.339;
150157 BOM JESUS DO TOCANTINS;206;1.845;10.761;147;-;88;2.166;15.213;
150160 BONITO;48;1.831;6.572;714;19;3.918;488;13.590;
150170 BRAGANCA;1.339;14.959;62.924;14.996;4.184;11.889;2.403;112.694;
150172 BRASIL NOVO;47;313;13.582;539;-;410;721;15.612;
150175 BREJO GRANDE DO ARAGUAIA;48;514;4.368;631;15;855;845;7.276;
150178 BREU BRANCO;2.442;181;43.766;194;59;1.716;3.928;52.286;
150180 BREVES;256;5.383;39.507;13.045;5.975;21.950;5.986;92.102;
150190 BUJARU;144;2.314;12.896;3.143;327;4.791;2.002;25.617;
150195 CACHOEIRA DO PIRIA;38;715;12.813;5.570;10;5.062;2.173;26.381;
150200 CACHOEIRA DO ARARI;147;7.559;6.946;1.490;1.037;2.159;1.003;20.341;
150210 CAMETA;3.543;8.640;51.409;11.712;30.559;11.430;3.391;120.684;
150215 CANAA DOS CARAJAS;5.226;4.160;15.680;387;23;453;635;26.564;
150220 CAPANEMA;117;40.171;14.230;2.119;101;4.628;1.902;63.268;
150230 CAPITAO POCO;553;1.170;37.271;3.573;149;6.871;2.061;51.648;
150240 CASTANHAL;5.855;56.205;91.795;6.288;638;10.108;1.361;172.250;
150250 CHAVES;102;242;5.893;11.199;283;2.601;601;20.921;
150260 COLARES;59;142;8.285;1.325;1;1.153;360;11.325;
150270 CONCEICAO DO ARAGUAIA;175;2.015;34.489;2.304;85;1.876;4.416;45.360;
150275 CONCORDIA DO PARA;76;1.638;11.825;1.477;9;11.599;1.390;28.014;
150276 CUMARU DO NORTE;57;97;6.000;351;5;278;3.148;9.936;
150277 CURIONOPOLIS;93;859;14.458;998;169;1.424;240;18.241;
150280 CURRALINHO;287;94;8.584;3.807;4.558;8.412;2.028;27.770;
150285 CURUA;8;127;3.276;6.414;11;2.219;184;12.239;
150290 CURUCA;166;7.857;18.159;1.387;192;5.708;793;34.262;
150293 DOM ELISEU;584;2.816;45.107;648;22;432;1.218;50.827;
150295 ELDORADO DOS CARAJAS;16;2.378;20.537;1.330;15;2.450;4.224;30.950;
150300 FARO;20;107;3.697;212;8;3.878;223;8.145;
150304 FLORESTA DO ARAGUAIA;4;247;11.076;778;8;1.661;3.951;17.725;
150307 GARRAFAO DO NORTE;-;250;13.343;5.525;94;3.949;1.781;24.942;
150309 GOIANESIA DO PARA;122;2.501;22.306;918;144;2.380;1.940;30.311;
150310 GURUPA;149;1.190;15.579;7.979;2.024;982;1.050;28.953;
